County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,health_insurance_rate,unemployment_rate,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
Spartanburg County,South Carolina,45,83,15.3,23.8,746.0,38.7,2650.0,218297.0,297732.0,21.2,15.6,47575.0,472.0,88.0,6.2,0.4556,128000.0,23.5,61059.0,297732.0,218297.0,24786.0,2017
Spencer County,Indiana,18,147,14.9,15.9,650.0,33.9,111.0,19938.0,20610.0,25.1,9.7,55280.0,53.0,93.5,5.7,0.4297,117900.0,22.5,128.0,20610.0,19938.0,29114.0,2017
Spencer County,Kentucky,21,215,13.5,19.8,630.0,37.5,20.0,17321.0,18012.0,17.5,8.7,68916.0,9.0,94.1,5.6,0.3916,190900.0,22.9,188.0,18012.0,17321.0,30779.0,2017
Spink County,South Dakota,46,115,13.8,21.9,579.0,32.0,33.0,6261.0,6478.0,27.1,9.9,52000.0,124.0,92.5,1.9,0.4556,77300.0,23.7,8.0,6478.0,6261.0,31957.0,2017
Spokane County,Washington,53,63,14.8,29.4,842.0,40.3,7130.0,434803.0,490764.0,21.4,15.2,52159.0,6778.0,92.4,6.3,0.4549,195500.0,22.4,8347.0,490764.0,434803.0,28325.0,2017
Spotsylvania County,Virginia,51,177,11.4,30.4,1400.0,38.8,680.0,94968.0,130159.0,17.9,8.0,81434.0,567.0,90.9,5.5,0.3894,265600.0,25.5,20643.0,130159.0,94968.0,33859.0,2017
Stafford County,Kansas,20,185,15.1,22.6,659.0,32.0,17.0,4067.0,4251.0,27.1,14.5,47121.0,8.0,89.6,3.7,0.4187,61800.0,24.3,28.0,4251.0,4067.0,25941.0,2017
Stafford County,Virginia,51,179,8.7,38.7,1481.0,41.9,1276.0,97462.0,141159.0,14.0,4.7,103005.0,382.0,92.3,4.3,0.3688,327600.0,26.6,23940.0,141159.0,97462.0,39158.0,2017
Stanislaus County,California,6,99,13.3,16.7,1049.0,41.4,6600.0,400661.0,535684.0,17.3,17.2,54260.0,3789.0,90.8,11.8,0.4493,244100.0,27.3,15121.0,535684.0,400661.0,24007.0,2017
Stanley County,South Dakota,46,117,8.6,27.9,664.0,32.6,22.0,2628.0,2994.0,28.5,5.8,63233.0,274.0,93.6,1.0,0.3936,158300.0,23.0,0.0,2994.0,2628.0,32862.0,2017
Stanly County,North Carolina,37,167,15.3,16.5,681.0,36.1,522.0,51213.0,60875.0,24.4,15.7,46017.0,213.0,87.9,8.0,0.4248,133000.0,21.8,6784.0,60875.0,51213.0,23398.0,2017
Stanton County,Kansas,20,187,13.8,22.6,554.0,29.2,12.0,1774.0,2107.0,23.3,10.8,42222.0,6.0,85.1,2.1,0.4123,71900.0,29.8,9.0,2107.0,1774.0,21062.0,2017
Stanton County,Nebraska,31,167,13.1,17.6,777.0,33.9,9.0,5853.0,6020.0,23.3,9.5,57534.0,0.0,91.1,3.1,0.4306,111900.0,26.1,77.0,6020.0,5853.0,29517.0,2017
Stark County,Illinois,17,175,14.1,18.8,596.0,32.3,19.0,5413.0,5551.0,28.5,14.0,52284.0,0.0,93.0,4.8,0.4614,85600.0,22.0,37.0,5551.0,5413.0,30009.0,2017
Stark County,North Dakota,38,89,9.2,23.8,926.0,42.4,118.0,27943.0,30316.0,17.5,8.1,77328.0,363.0,90.9,3.2,0.4479,228200.0,24.9,538.0,30316.0,27943.0,37978.0,2017
Stark County,Ohio,39,151,13.4,22.8,711.0,35.9,3788.0,330293.0,374273.0,25.2,14.0,50117.0,403.0,93.5,6.7,0.4426,127100.0,21.9,26706.0,374273.0,330293.0,27401.0,2017
Starke County,Indiana,18,149,15.9,11.4,665.0,35.0,116.0,22167.0,22966.0,24.2,16.7,45526.0,29.0,91.9,7.6,0.4183,101600.0,23.4,72.0,22966.0,22167.0,22153.0,2017
Starr County,Texas,48,427,17.9,9.7,525.0,42.0,248.0,60326.0,63420.0,15.2,35.0,27133.0,44.0,66.3,15.0,0.5023,67200.0,33.3,33.0,63420.0,60326.0,13167.0,2017
Staunton City,Virginia,51,790,15.0,33.8,806.0,38.8,378.0,20304.0,24273.0,26.1,13.3,46435.0,58.0,90.1,3.9,0.4368,162500.0,18.7,2714.0,24273.0,20304.0,27571.0,2017
Stearns County,Minnesota,27,145,10.7,27.2,774.0,42.8,1539.0,138964.0,155300.0,19.4,13.1,59564.0,518.0,95.6,4.5,0.4304,171300.0,23.0,7881.0,155300.0,138964.0,29148.0,2017
Steele County,Minnesota,27,147,10.9,24.6,758.0,35.5,197.0,33268.0,36612.0,22.9,9.9,58882.0,70.0,96.1,4.5,0.4172,154300.0,25.3,1196.0,36612.0,33268.0,29930.0,2017
Steele County,North Dakota,38,91,15.5,25.6,545.0,27.6,6.0,1904.0,1915.0,31.5,3.8,65437.0,0.0,96.4,1.8,0.4096,72000.0,20.1,0.0,1915.0,1904.0,40479.0,2017
Stephens County,Georgia,13,257,19.7,19.6,638.0,35.4,185.0,21528.0,25625.0,24.7,18.1,39756.0,69.0,84.8,11.7,0.4894,98500.0,22.5,3006.0,25625.0,21528.0,21657.0,2017
Stephens County,Oklahoma,40,137,19.5,17.4,677.0,35.4,325.0,37197.0,44293.0,24.7,15.1,44805.0,2348.0,85.9,6.8,0.4621,104000.0,23.6,794.0,44293.0,37197.0,25177.0,2017
Stephens County,Texas,48,429,18.1,16.8,574.0,37.3,72.0,8434.0,9365.0,25.9,21.3,45862.0,88.0,78.0,4.7,0.4422,73400.0,22.2,204.0,9365.0,8434.0,23044.0,2017
Stephenson County,Illinois,17,177,14.4,18.7,634.0,32.5,695.0,39361.0,45839.0,29.3,16.1,46427.0,62.0,94.2,8.0,0.4396,97700.0,21.8,4371.0,45839.0,39361.0,25792.0,2017
Sterling County,Texas,48,431,14.7,21.4,919.0,29.5,3.0,1043.0,1139.0,19.1,17.0,50000.0,0.0,73.0,2.6,0.3704,66100.0,28.9,3.0,1139.0,1043.0,25675.0,2017
Steuben County,Indiana,18,151,14.6,20.3,729.0,36.0,379.0,33515.0,34459.0,25.5,10.1,52749.0,25.0,90.6,4.9,0.396,136300.0,20.9,82.0,34459.0,33515.0,26902.0,2017
Steuben County,New York,36,101,15.8,22.6,691.0,34.9,881.0,92591.0,97539.0,24.9,14.5,50157.0,137.0,92.8,7.0,0.4531,95300.0,22.1,1604.0,97539.0,92591.0,27731.0,2017
Stevens County,Kansas,20,189,9.7,16.2,636.0,36.5,0.0,5078.0,5741.0,18.7,16.8,57500.0,17.0,84.4,4.5,0.4308,110000.0,30.7,5.0,5741.0,5078.0,24691.0,2017
Stevens County,Minnesota,27,149,12.2,28.8,689.0,44.8,29.0,9091.0,9759.0,22.0,15.4,57552.0,212.0,97.7,2.6,0.4986,150800.0,20.8,98.0,9759.0,9091.0,31419.0,2017
Stevens County,Washington,53,65,19.3,18.6,662.0,30.0,275.0,38995.0,43858.0,30.0,15.6,47272.0,2031.0,91.9,6.7,0.4248,184600.0,22.1,201.0,43858.0,38995.0,24707.0,2017
Stewart County,Georgia,13,259,22.3,12.4,515.0,50.1,4.0,1618.0,5832.0,20.7,41.5,22413.0,15.0,84.9,11.8,0.5026,51800.0,14.3,2932.0,5832.0,1618.0,14954.0,2017
Stewart County,Tennessee,47,161,20.3,15.1,628.0,33.4,122.0,12403.0,13248.0,27.1,19.0,44090.0,62.0,90.3,8.2,0.4059,130400.0,21.3,145.0,13248.0,12403.0,22680.0,2017
Stillwater County,Montana,30,95,12.7,25.0,697.0,30.6,93.0,8939.0,9342.0,28.7,6.5,61998.0,98.0,91.3,3.6,0.3915,225200.0,21.8,20.0,9342.0,8939.0,31583.0,2017
Stoddard County,Missouri,29,207,22.3,14.1,594.0,36.0,455.0,28783.0,29634.0,25.4,16.8,40076.0,32.0,86.8,7.1,0.4363,91300.0,21.8,451.0,29634.0,28783.0,21684.0,2017
Stokes County,North Carolina,37,169,15.2,13.9,640.0,33.5,297.0,42967.0,46124.0,26.4,13.9,44490.0,153.0,87.6,7.0,0.4185,123900.0,19.9,1833.0,46124.0,42967.0,23500.0,2017
Stone County,Arkansas,5,137,22.8,13.4,585.0,29.5,196.0,12006.0,12443.0,33.4,24.2,33091.0,79.0,90.0,8.3,0.4797,107300.0,20.1,10.0,12443.0,12006.0,19881.0,2017
Stone County,Mississippi,28,131,18.9,15.0,697.0,40.8,183.0,14154.0,17981.0,21.4,17.3,46283.0,74.0,87.4,5.6,0.4571,113900.0,22.7,3463.0,17981.0,14154.0,21615.0,2017
Stone County,Missouri,29,209,20.0,18.4,723.0,26.9,297.0,30423.0,31529.0,38.5,12.8,43292.0,349.0,87.9,7.7,0.4495,160600.0,17.1,50.0,31529.0,30423.0,26052.0,2017
Stonewall County,Texas,48,433,21.3,12.5,508.0,20.8,8.0,1022.0,1084.0,34.0,13.9,46786.0,0.0,84.7,2.4,0.4741,53700.0,23.8,38.0,1084.0,1022.0,28063.0,2017
Storey County,Nevada,32,29,25.2,22.9,747.0,24.8,0.0,3619.0,3891.0,38.8,7.7,63607.0,53.0,91.2,4.2,0.3988,187100.0,11.9,28.0,3891.0,3619.0,36388.0,2017
Story County,Iowa,19,169,7.5,50.6,857.0,56.6,1064.0,83487.0,95888.0,15.6,22.0,52671.0,278.0,95.8,4.4,0.4677,172900.0,16.9,1835.0,95888.0,83487.0,27392.0,2017
Strafford County,New Hampshire,33,17,12.6,35.7,1018.0,43.3,1236.0,117831.0,126552.0,19.8,9.5,67805.0,59.0,92.1,4.4,0.423,220900.0,19.3,1097.0,126552.0,117831.0,32540.0,2017
Stutsman County,North Dakota,38,93,13.8,24.0,673.0,37.8,163.0,19709.0,21058.0,25.2,11.1,56088.0,309.0,92.4,1.5,0.4227,130900.0,20.1,235.0,21058.0,19709.0,31182.0,2017
Sublette County,Wyoming,56,35,13.6,25.4,1078.0,36.0,24.0,9661.0,10037.0,22.8,7.4,84911.0,15.0,86.5,4.2,0.3404,264800.0,24.4,0.0,10037.0,9661.0,32175.0,2017
Suffolk City,Virginia,51,800,12.1,27.2,1083.0,38.7,943.0,45846.0,88057.0,19.7,11.2,68089.0,141.0,91.9,6.7,0.4286,238200.0,24.9,36822.0,88057.0,45846.0,31239.0,2017
Suffolk County,Massachusetts,25,25,12.4,43.6,1419.0,52.7,19665.0,431286.0,780685.0,16.1,19.6,61242.0,2720.0,95.9,7.1,0.5344,430900.0,17.0,175509.0,780685.0,431286.0,38031.0,2017
Suffolk County,New York,36,103,9.5,35.0,1646.0,37.2,8117.0,1205198.0,1497595.0,21.8,7.2,92838.0,3743.0,93.5,5.4,0.4418,379400.0,22.0,117030.0,1497595.0,1205198.0,40277.0,2017
Sullivan County,Indiana,18,153,19.1,12.5,668.0,38.7,200.0,19497.0,20900.0,21.8,15.6,45031.0,36.0,87.8,5.9,0.4608,80900.0,20.2,811.0,20900.0,19497.0,22239.0,2017
Sullivan County,Missouri,29,211,14.6,10.7,584.0,33.8,31.0,5940.0,6382.0,25.4,15.9,42034.0,32.0,84.3,3.4,0.4106,77700.0,23.2,115.0,6382.0,5940.0,21168.0,2017
Sullivan County,New Hampshire,33,19,13.9,25.9,893.0,32.8,602.0,41601.0,43073.0,27.6,9.4,59419.0,150.0,91.9,3.7,0.4215,171100.0,19.5,236.0,43073.0,41601.0,31301.0,2017
Sullivan County,New York,36,105,16.3,23.4,860.0,35.3,526.0,61721.0,75783.0,24.3,15.9,53877.0,194.0,92.3,9.3,0.4672,167900.0,21.4,6551.0,75783.0,61721.0,28224.0,2017
Sullivan County,Pennsylvania,42,113,20.8,16.5,647.0,30.2,9.0,5818.0,6192.0,36.1,13.1,45519.0,32.0,90.7,8.8,0.4134,148500.0,12.0,158.0,6192.0,5818.0,26720.0,2017
Sullivan County,Tennessee,47,163,20.5,22.0,633.0,34.3,1329.0,148136.0,156519.0,28.1,16.6,42251.0,208.0,90.5,6.8,0.4716,130300.0,19.8,2977.0,156519.0,148136.0,25946.0,2017
Sully County,South Dakota,46,119,8.8,24.9,545.0,29.8,0.0,1327.0,1390.0,27.0,3.3,60694.0,25.0,91.0,0.5,0.4743,122300.0,23.8,0.0,1390.0,1327.0,39888.0,2017
Summers County,West Virginia,54,89,27.8,14.5,634.0,33.0,177.0,12242.0,13210.0,31.1,19.0,35218.0,41.0,94.2,11.1,0.4232,95100.0,17.1,657.0,13210.0,12242.0,20142.0,2017
Summit County,Colorado,8,117,6.1,47.8,1343.0,45.0,277.0,26775.0,29722.0,19.1,10.3,73538.0,78.0,78.6,3.3,0.4333,547700.0,16.2,283.0,29722.0,26775.0,37192.0,2017
Summit County,Ohio,39,153,12.6,31.6,783.0,37.5,5913.0,428418.0,541318.0,23.4,13.6,53291.0,1125.0,93.2,6.4,0.4706,137000.0,21.5,78331.0,541318.0,428418.0,30803.0,2017
Summit County,Utah,49,43,5.4,53.5,1230.0,37.9,387.0,37725.0,39731.0,16.9,7.5,94952.0,107.0,90.6,2.3,0.4924,558300.0,25.7,265.0,39731.0,37725.0,52671.0,2017
Sumner County,Kansas,20,191,14.0,20.9,672.0,34.0,132.0,22042.0,23336.0,23.7,11.8,52695.0,244.0,90.7,5.1,0.4282,86800.0,25.0,226.0,23336.0,22042.0,25393.0,2017
Sumner County,Tennessee,47,165,13.4,26.5,930.0,37.9,1239.0,155391.0,175730.0,21.1,9.7,61584.0,582.0,90.6,4.5,0.4399,194900.0,24.2,12091.0,175730.0,155391.0,30669.0,2017
Sumter County,Alabama,1,119,21.6,18.2,534.0,41.8,183.0,3235.0,13084.0,23.0,36.0,21663.0,68.0,83.1,13.4,0.5187,69500.0,19.7,9268.0,13084.0,3235.0,14739.0,2017
Sumter County,Florida,12,119,20.2,30.9,831.0,16.8,512.0,103550.0,116754.0,64.2,9.2,54771.0,371.0,93.5,6.6,0.4338,239800.0,7.4,8820.0,116754.0,103550.0,33168.0,2017
Sumter County,Georgia,13,261,13.7,16.8,674.0,40.8,337.0,12955.0,30687.0,21.3,33.4,34219.0,27.0,85.9,10.6,0.484,82600.0,23.5,16085.0,30687.0,12955.0,18785.0,2017
Sumter County,South Carolina,45,85,19.6,19.5,762.0,39.5,1657.0,51823.0,107379.0,21.2,21.1,41946.0,336.0,87.5,11.4,0.4512,113200.0,24.5,50480.0,107379.0,51823.0,21733.0,2017
Sunflower County,Mississippi,28,133,14.6,14.5,608.0,43.3,348.0,6715.0,26915.0,17.4,32.5,28556.0,72.0,82.1,17.6,0.4848,71600.0,23.3,19911.0,26915.0,6715.0,14427.0,2017
Surry County,North Carolina,37,171,20.3,16.5,626.0,34.7,642.0,66168.0,72315.0,25.9,17.6,39071.0,264.0,86.7,5.1,0.4702,120900.0,21.9,2703.0,72315.0,66168.0,22533.0,2017
Surry County,Virginia,51,181,14.5,19.1,920.0,31.1,66.0,3500.0,6670.0,27.6,13.6,54656.0,1.0,87.3,7.7,0.3947,172700.0,18.3,3043.0,6670.0,3500.0,27162.0,2017
Susquehanna County,Pennsylvania,42,115,17.1,17.5,738.0,31.3,314.0,40699.0,41716.0,28.7,13.0,52014.0,84.0,91.2,6.7,0.4275,159100.0,19.2,262.0,41716.0,40699.0,27823.0,2017
Sussex County,Delaware,10,5,13.8,25.1,992.0,30.2,1508.0,176511.0,215551.0,33.3,12.0,57901.0,917.0,92.2,6.1,0.4457,242900.0,19.3,26592.0,215551.0,176511.0,31874.0,2017
Sussex County,New Jersey,34,37,10.2,34.4,1244.0,34.6,757.0,133544.0,143570.0,22.8,5.3,89238.0,38.0,93.6,6.4,0.4091,264100.0,21.0,2997.0,143570.0,133544.0,41272.0,2017
Sussex County,Virginia,51,183,17.8,11.7,837.0,42.9,37.0,4444.0,11595.0,22.3,17.8,44608.0,42.0,95.0,5.5,0.4173,121600.0,15.2,6601.0,11595.0,4444.0,15882.0,2017
Sutter County,California,6,101,13.8,17.5,980.0,39.5,1598.0,67211.0,95583.0,20.1,16.7,54347.0,904.0,88.2,10.5,0.4488,234500.0,26.3,1970.0,95583.0,67211.0,24849.0,2017
Sutton County,Texas,48,435,10.2,19.8,631.0,36.3,42.0,2699.0,3894.0,23.2,6.5,60996.0,9.0,82.6,5.9,0.4156,95500.0,25.4,22.0,3894.0,2699.0,31603.0,2017
Suwannee County,Florida,12,121,18.0,13.7,702.0,35.0,272.0,36442.0,43814.0,26.5,20.4,40600.0,75.0,85.7,9.1,0.4792,92400.0,21.6,5915.0,43814.0,36442.0,21565.0,2017
Swain County,North Carolina,37,173,17.3,15.0,613.0,35.2,186.0,9081.0,14208.0,25.2,20.9,35271.0,4214.0,78.9,7.4,0.4825,122300.0,22.5,67.0,14208.0,9081.0,20918.0,2017
Sweet Grass County,Montana,30,97,16.1,25.4,683.0,26.4,0.0,3475.0,3646.0,35.4,10.4,49761.0,0.0,92.9,0.9,0.4424,225900.0,22.4,5.0,3646.0,3475.0,28065.0,2017
Sweetwater County,Wyoming,56,37,11.5,22.2,870.0,42.5,416.0,41349.0,44527.0,15.8,12.0,71083.0,455.0,87.6,5.2,0.4108,201000.0,26.9,362.0,44527.0,41349.0,31700.0,2017
Swift County,Minnesota,27,151,14.4,17.0,615.0,32.4,65.0,8970.0,9448.0,28.2,12.2,49556.0,1.0,95.2,3.3,0.4455,102100.0,22.2,214.0,9448.0,8970.0,29470.0,2017
Swisher County,Texas,48,437,17.6,13.0,651.0,39.2,6.0,6246.0,7541.0,24.1,22.2,37883.0,271.0,81.2,5.9,0.4758,70800.0,25.6,440.0,7541.0,6246.0,18878.0,2017
Switzerland County,Indiana,18,155,16.9,8.7,763.0,34.5,88.0,10257.0,10617.0,23.3,19.7,43468.0,0.0,86.7,6.6,0.4307,114300.0,25.2,87.0,10617.0,10257.0,21511.0,2017
Talbot County,Georgia,13,263,19.8,12.5,659.0,30.3,47.0,2702.0,6423.0,31.8,16.9,37226.0,5.0,86.4,8.2,0.4716,81200.0,17.7,3635.0,6423.0,2702.0,21351.0,2017
Talbot County,Maryland,24,41,12.7,37.4,1084.0,29.4,363.0,31137.0,37461.0,34.4,10.0,65595.0,32.0,93.8,4.4,0.5238,326300.0,18.5,4342.0,37461.0,31137.0,44785.0,2017
Taliaferro County,Georgia,13,265,22.5,6.8,520.0,39.6,25.0,683.0,1844.0,27.7,31.0,30500.0,0.0,82.2,9.5,0.4836,59100.0,16.1,1140.0,1844.0,683.0,17939.0,2017
Talladega County,Alabama,1,121,18.9,13.6,598.0,37.8,625.0,51980.0,80888.0,23.3,19.3,39219.0,294.0,89.8,10.0,0.4543,95200.0,21.9,26004.0,80888.0,51980.0,21382.0,2017
Tallahatchie County,Mississippi,28,135,18.5,10.1,462.0,48.8,150.0,5174.0,14552.0,19.3,28.3,30000.0,71.0,87.7,13.7,0.5004,63400.0,16.8,6872.0,14552.0,5174.0,14163.0,2017
Tallapoosa County,Alabama,1,123,17.3,18.2,614.0,33.8,433.0,28455.0,40756.0,27.0,21.2,42181.0,176.0,90.6,9.2,0.4536,107000.0,21.3,11216.0,40756.0,28455.0,22430.0,2017
Tama County,Iowa,19,171,11.4,16.5,672.0,32.9,46.0,15198.0,17236.0,25.8,11.8,56110.0,1331.0,93.7,3.8,0.3994,105300.0,24.2,105.0,17236.0,15198.0,27074.0,2017
Taney County,Missouri,29,213,17.1,17.8,761.0,36.2,629.0,50238.0,54308.0,27.1,17.1,39661.0,437.0,81.3,6.3,0.4241,124400.0,21.3,548.0,54308.0,50238.0,21381.0,2017
Tangipahoa Parish,Louisiana,22,105,20.2,19.9,783.0,41.4,1013.0,86555.0,128850.0,19.2,21.9,45901.0,354.0,86.9,8.9,0.4622,149300.0,24.7,37995.0,128850.0,86555.0,23520.0,2017
Taos County,New Mexico,35,55,19.3,27.7,716.0,31.2,177.0,26895.0,32809.0,31.5,21.3,35314.0,2384.0,88.1,9.7,0.4906,218400.0,18.8,162.0,32809.0,26895.0,23229.0,2017
Tarrant County,Texas,48,439,10.4,31.1,987.0,42.4,24381.0,1361361.0,1983675.0,15.5,13.5,62532.0,8977.0,83.0,5.4,0.46,158200.0,26.9,315573.0,1983675.0,1361361.0,30857.0,2017
Tate County,Mississippi,28,137,15.8,16.1,685.0,39.4,181.0,18804.0,28333.0,20.9,19.3,46233.0,27.0,87.7,7.7,0.4413,107400.0,23.8,8511.0,28333.0,18804.0,21671.0,2017
Tattnall County,Georgia,13,267,17.7,12.3,543.0,43.7,171.0,15232.0,25402.0,18.8,23.7,36355.0,84.0,84.6,4.0,0.4549,88100.0,20.8,7430.0,25402.0,15232.0,16279.0,2017
Taylor County,Florida,12,123,22.5,8.6,621.0,38.4,167.0,16735.0,22350.0,26.1,16.4,37188.0,101.0,87.6,5.9,0.4215,84900.0,19.3,4796.0,22350.0,16735.0,16979.0,2017
Taylor County,Georgia,13,269,17.9,11.4,576.0,35.0,59.0,4753.0,8267.0,24.4,28.2,29875.0,0.0,81.0,14.1,0.4679,65800.0,21.1,3340.0,8267.0,4753.0,18482.0,2017
Taylor County,Iowa,19,173,14.7,14.3,603.0,32.7,78.0,5941.0,6214.0,28.1,11.0,46825.0,21.0,92.1,2.8,0.4453,76100.0,23.3,20.0,6214.0,5941.0,27344.0,2017
Taylor County,Kentucky,21,217,20.5,18.8,596.0,38.9,357.0,23267.0,25406.0,23.2,23.1,36455.0,0.0,90.6,7.6,0.4594,106700.0,22.3,1195.0,25406.0,23267.0,19885.0,2017
Taylor County,Texas,48,441,15.9,24.1,846.0,43.6,1741.0,105329.0,135371.0,19.1,16.1,49161.0,1174.0,85.4,4.4,0.4572,112400.0,24.7,10397.0,135371.0,105329.0,25419.0,2017
Taylor County,West Virginia,54,91,19.4,18.6,577.0,35.3,87.0,16359.0,16977.0,26.8,15.7,45916.0,0.0,92.8,8.9,0.4274,100200.0,20.4,219.0,16977.0,16359.0,23683.0,2017
Taylor County,Wisconsin,55,119,12.5,14.4,615.0,32.3,136.0,19889.0,20344.0,25.0,10.9,49821.0,36.0,90.8,3.8,0.4243,129300.0,24.0,94.0,20344.0,19889.0,26290.0,2017
Tazewell County,Illinois,17,179,11.5,26.0,719.0,36.6,1016.0,129144.0,134695.0,23.7,8.0,60874.0,180.0,95.4,5.1,0.4219,137300.0,23.0,1663.0,134695.0,129144.0,32082.0,2017
Tazewell County,Virginia,51,185,22.8,15.2,622.0,34.8,258.0,40438.0,42689.0,27.4,15.6,40309.0,97.0,88.1,7.8,0.4856,96500.0,19.4,1285.0,42689.0,40438.0,24325.0,2017
Tehama County,California,6,103,20.6,14.4,812.0,34.7,892.0,54371.0,63247.0,25.1,20.9,42512.0,1505.0,91.2,10.1,0.4513,191400.0,23.9,379.0,63247.0,54371.0,22631.0,2017
Telfair County,Georgia,13,271,13.8,8.1,540.0,41.8,113.0,8914.0,16339.0,23.3,27.7,28044.0,4.0,84.8,4.1,0.424,55600.0,17.5,7016.0,16339.0,8914.0,13594.0,2017
Teller County,Colorado,8,119,13.9,34.1,1057.0,29.4,159.0,22465.0,23769.0,28.4,7.5,66809.0,91.0,90.6,6.7,0.4081,261100.0,18.4,158.0,23769.0,22465.0,34974.0,2017
Tensas Parish,Louisiana,22,107,12.3,9.7,441.0,30.7,10.0,2096.0,4771.0,28.3,38.0,21906.0,0.0,75.5,15.3,0.5202,62200.0,24.5,2645.0,4771.0,2096.0,16194.0,2017
Terrebonne Parish,Louisiana,22,109,15.3,14.4,876.0,39.7,830.0,80237.0,113067.0,18.7,20.1,47650.0,6205.0,85.5,6.1,0.4583,143700.0,25.8,21799.0,113067.0,80237.0,24017.0,2017
Terrell County,Georgia,13,273,14.4,10.8,636.0,34.7,67.0,3268.0,8978.0,23.9,35.3,32219.0,11.0,79.3,10.4,0.4696,88600.0,24.2,5565.0,8978.0,3268.0,17562.0,2017
Terry County,Texas,48,445,16.5,12.8,724.0,38.7,43.0,11413.0,12755.0,20.7,13.7,42441.0,40.0,75.0,9.4,0.4747,68000.0,27.3,657.0,12755.0,11413.0,21938.0,2017
Teton County,Idaho,16,81,7.6,42.5,906.0,41.1,165.0,9621.0,10776.0,13.9,8.3,55986.0,20.0,89.5,6.2,0.4077,291600.0,27.4,20.0,10776.0,9621.0,28004.0,2017
Teton County,Montana,30,99,16.8,23.7,676.0,31.1,114.0,5735.0,6040.0,29.1,9.8,51060.0,82.0,90.1,1.7,0.4114,156600.0,23.6,15.0,6040.0,5735.0,26884.0,2017
Teton County,Wyoming,56,39,6.9,54.1,1272.0,43.6,350.0,20672.0,22923.0,18.7,6.8,80049.0,92.0,88.3,1.3,0.4763,739100.0,19.3,146.0,22923.0,20672.0,49200.0,2017
Texas County,Missouri,29,215,23.1,13.8,566.0,33.2,95.0,23855.0,25714.0,26.3,25.3,35571.0,558.0,83.6,7.1,0.4322,105800.0,23.2,511.0,25714.0,23855.0,17918.0,2017
Texas County,Oklahoma,40,139,8.6,20.8,707.0,43.3,136.0,13132.0,21409.0,15.9,16.8,49469.0,121.0,84.2,3.1,0.4081,109300.0,27.6,864.0,21409.0,13132.0,23324.0,2017
Thayer County,Nebraska,31,169,15.7,20.7,555.0,28.1,4.0,5001.0,5133.0,34.9,10.9,48151.0,14.0,94.5,1.2,0.4573,67500.0,21.4,13.0,5133.0,5001.0,31129.0,2017
Thomas County,Georgia,13,275,17.7,22.2,808.0,36.3,350.0,26958.0,44909.0,23.0,19.5,41336.0,52.0,84.1,9.3,0.4909,131400.0,24.2,16096.0,44909.0,26958.0,24047.0,2017
Thomas County,Kansas,20,193,12.7,26.5,495.0,39.9,105.0,7381.0,7847.0,23.4,11.1,52465.0,69.0,92.6,1.9,0.4564,114000.0,22.5,123.0,7847.0,7381.0,26718.0,2017
Throckmorton County,Texas,48,447,20.9,20.0,425.0,30.1,7.0,1515.0,1541.0,33.6,17.1,37279.0,0.0,81.7,5.2,0.5071,68600.0,20.7,2.0,1541.0,1515.0,27732.0,2017
Thurston County,Nebraska,31,173,12.3,16.0,578.0,36.7,60.0,2802.0,7055.0,17.2,30.5,44701.0,4014.0,71.8,15.4,0.4832,79100.0,35.6,16.0,7055.0,2802.0,19380.0,2017
Thurston County,Washington,53,67,13.0,34.4,1134.0,39.7,3644.0,221454.0,269885.0,22.2,11.6,66113.0,3993.0,93.2,7.7,0.4118,255500.0,21.9,8038.0,269885.0,221454.0,32410.0,2017
Tift County,Georgia,13,277,16.5,16.8,607.0,41.1,272.0,25782.0,40531.0,20.0,27.8,38728.0,37.0,80.3,3.9,0.4839,112200.0,24.9,11932.0,40531.0,25782.0,20800.0,2017
Tillamook County,Oregon,41,57,20.2,20.7,831.0,30.8,242.0,23725.0,25840.0,34.3,15.5,45061.0,146.0,90.7,5.5,0.442,233500.0,19.1,85.0,25840.0,23725.0,25458.0,2017
Tillman County,Oklahoma,40,141,18.5,15.2,598.0,33.8,21.0,5119.0,7591.0,26.1,22.1,40728.0,172.0,84.6,5.5,0.4586,54100.0,24.2,648.0,7591.0,5119.0,21422.0,2017
Tioga County,New York,36,107,14.0,24.7,695.0,33.6,447.0,47683.0,49322.0,25.2,11.2,57153.0,22.0,94.3,6.5,0.4363,113000.0,21.7,298.0,49322.0,47683.0,30252.0,2017
Tioga County,Pennsylvania,42,117,16.7,20.2,709.0,34.7,287.0,40349.0,41550.0,27.3,13.4,50017.0,50.0,91.3,6.4,0.4245,139400.0,20.1,238.0,41550.0,40349.0,25353.0,2017
Tippah County,Mississippi,28,139,19.9,14.5,551.0,38.1,185.0,17496.0,21993.0,22.3,22.8,39351.0,7.0,88.7,8.9,0.4378,86000.0,24.7,3734.0,21993.0,17496.0,19780.0,2017
