County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,Year
Bingham County,Idaho,16,11,11.2,45485,39671,164,70.3,605,0.4018,2364,47941,18872,39671,45485,125,8.8,135400,2013
Black Hawk County,Iowa,19,13,12.4,131468,113080,1441,79.9,671,0.4338,212,45747,24273,113080,131468,11997,15.4,123600,2013
Blackford County,Indiana,18,9,15.7,12665,12382,105,78.7,595,0.4107,10,39225,20322,12382,12665,54,8.2,70400,2013
Bladen County,North Carolina,37,17,14.3,34969,20182,201,78.8,593,0.4944,798,30164,19154,20182,34969,12121,10.5,81800,2013
Blaine County,Idaho,16,13,13.1,21294,18742,249,78.0,932,0.4493,246,64042,35524,18742,21294,7,6.5,375000,2013
Blaine County,Montana,30,5,11.9,6550,3182,25,71.9,429,0.4582,3194,37151,17437,3182,6550,11,9.1,76200,2013
Blaine County,Oklahoma,40,11,13.4,10198,7966,68,80.3,536,0.4244,520,44206,20242,7966,10198,562,8.6,68000,2013
Blair County,Pennsylvania,42,13,15.5,126940,122136,1238,80.3,615,0.4413,96,42992,23875,122136,126940,2283,9.9,106500,2013
Blanco County,Texas,48,31,17.2,10562,9842,74,80.0,749,0.422,224,49487,26781,9842,10562,69,6.7,162500,2013
Bland County,Virginia,51,21,15.4,6795,6442,33,83.3,540,0.4074,0,42139,18501,6442,6795,332,6.7,95200,2013
Bleckley County,Georgia,13,23,13.2,12961,9054,49,79.4,635,0.5355,12,36073,20156,9054,12961,3478,16.6,79900,2013
Bledsoe County,Tennessee,47,7,14.4,12853,12144,74,84.1,507,0.4333,4,33443,15747,12144,12853,510,8.3,106100,2013
Blount County,Alabama,1,9,13.6,57623,54890,198,78.2,600,0.4144,197,44145,20730,54890,57623,818,8.6,117100,2013
Blount County,Tennessee,47,9,15.2,123722,116468,1132,79.9,720,0.429,395,45991,23788,116468,123722,3598,8.5,163900,2013
Blue Earth County,Minnesota,27,13,10.2,64504,59738,678,82.7,683,0.4476,190,49935,25380,59738,64504,1951,22.6,158100,2013
Boise County,Idaho,16,15,18.6,6944,6682,43,80.8,600,0.4557,109,41056,24324,6682,6944,32,4.9,195600,2013
Bolivar County,Mississippi,28,11,10.6,34107,11287,326,75.8,575,0.4913,43,28599,16462,11287,34107,21883,12.5,83500,2013
Bollinger County,Missouri,29,17,16.1,12408,12159,43,79.3,550,0.4567,9,37716,19470,12159,12408,33,8.1,96600,2013
Bon Homme County,South Dakota,46,9,15.1,7048,6293,47,84.3,419,0.4549,504,40980,20941,6293,7048,56,9.3,69700,2013
Bond County,Illinois,17,5,13.1,17665,16165,66,78.2,659,0.4494,2,48163,23195,16165,17665,369,11.2,103300,2013
Bonner County,Idaho,16,17,18.3,40743,39101,402,81.0,716,0.4434,338,41414,23221,39101,40743,90,6.6,222200,2013
Bonneville County,Idaho,16,19,9.8,105580,95910,977,71.1,703,0.419,498,50872,22657,95910,105580,780,8.5,154700,2013
Boone County,Arkansas,5,9,16.8,37099,35856,186,78.7,587,0.4643,315,38506,22160,35856,37099,101,8.0,106400,2013
Boone County,Illinois,17,7,10.9,54068,48666,362,75.2,721,0.4265,49,60893,25888,48666,54068,1309,9.0,158800,2013
Boone County,Indiana,18,11,10.7,58009,55100,380,73.7,790,0.4843,72,67255,37482,55100,58009,660,7.0,179000,2013
Boone County,Iowa,19,15,13.9,26310,25659,250,79.2,616,0.4146,76,51826,27149,25659,26310,256,7.9,117300,2013
Boone County,Kentucky,21,15,9.0,121214,111327,611,73.9,881,0.3992,336,67225,29235,111327,121214,3412,8.0,172700,2013
Boone County,Missouri,29,19,8.4,165776,136692,2150,80.2,784,0.4846,230,48627,26895,136692,165776,14385,20.7,162200,2013
Boone County,Nebraska,31,11,18.3,5441,5414,22,79.0,487,0.4435,0,45246,25590,5414,5441,5,7.6,85000,2013
Boone County,West Virginia,54,5,13.2,24517,24133,175,78.1,519,0.4366,0,42156,21627,24133,24517,222,7.8,77600,2013
Bosque County,Texas,48,35,20.5,18094,17006,135,80.3,608,0.4591,92,44742,23992,17006,18094,276,7.1,90800,2013
Bossier Parish,Louisiana,22,15,10.5,119947,86661,1429,76.0,843,0.4442,895,53248,27429,86661,119947,25582,10.5,146300,2013
Botetourt County,Virginia,51,23,16.1,33076,31297,90,80.8,788,0.4237,40,65935,32490,31297,33076,1241,7.1,213100,2013
Bottineau County,North Dakota,38,9,18.8,6529,6195,38,82.8,559,0.4685,150,51667,31969,6195,6529,25,10.7,84200,2013
Boulder County,Colorado,8,13,9.4,301072,263961,3736,81.3,1113,0.477,1331,67956,38011,263961,301072,2598,15.7,350900,2013
Boundary County,Idaho,16,21,18.2,10866,10239,56,78.7,660,0.4483,260,37003,19877,10239,10866,20,6.9,174300,2013
Bourbon County,Kansas,20,11,16.3,15004,14036,84,77.5,596,0.4203,92,39591,19340,14036,15004,453,10.5,78400,2013
Bourbon County,Kentucky,21,17,13.7,19999,18023,212,77.5,642,0.4675,45,40933,22893,18023,19999,1340,8.8,139900,2013
Bowie County,Texas,48,37,12.0,92851,65135,876,78.6,697,0.4836,720,42346,22911,65135,92851,22126,9.5,95100,2013
Bowman County,North Dakota,38,11,19.4,3168,3042,24,80.3,581,0.455,24,56964,32045,3042,3168,3,6.8,115100,2013
Box Butte County,Nebraska,31,13,13.0,11312,10124,114,75.9,513,0.426,538,46373,25046,10124,11312,15,9.2,90000,2013
Box Elder County,Utah,49,3,10.6,50160,46764,208,69.4,641,0.3686,375,57292,21720,46764,50160,174,8.8,166100,2013
Boyd County,Kentucky,21,19,14.7,49314,46721,642,81.4,608,0.5087,92,40379,24530,46721,49314,1243,7.7,96900,2013
Boyd County,Nebraska,31,15,24.1,2093,2051,8,80.2,432,0.4251,8,41279,23157,2051,2093,21,4.5,54500,2013
Boyle County,Kentucky,21,21,13.9,28701,25592,460,80.0,622,0.4607,88,41473,22249,25592,28701,1713,12.3,130700,2013
Bracken County,Kentucky,21,23,12.8,8472,8455,102,76.9,527,0.4295,0,39196,20918,8455,8472,0,8.1,90700,2013
Bradford County,Florida,12,7,12.7,27981,21560,192,83.9,635,0.4435,70,40259,17749,21560,27981,5525,8.9,108000,2013
Bradford County,Pennsylvania,42,15,16.5,62624,61131,506,79.0,641,0.421,34,46963,23667,61131,62624,352,7.8,119900,2013
Bradley County,Arkansas,5,11,15.1,11418,6991,47,76.5,606,0.4984,124,30409,19386,6991,11418,3207,8.9,62900,2013
Bradley County,Tennessee,47,11,13.2,100070,92066,1138,78.4,689,0.4637,177,41083,21649,92066,100070,4377,10.3,138900,2013
Branch County,Michigan,26,23,13.5,44398,41972,265,78.7,670,0.4261,131,41856,19947,41972,44398,1162,8.7,98000,2013
Brantley County,Georgia,13,25,12.0,18409,17504,38,75.4,498,0.4138,31,36070,16938,17504,18409,638,9.2,68500,2013
Braxton County,West Virginia,54,7,17.2,14524,14268,114,82.8,486,0.4498,84,31848,18635,14268,14524,83,8.4,80400,2013
Brazoria County,Texas,48,39,8.9,319493,238829,2259,75.2,865,0.4206,1262,67603,29081,238829,319493,40250,8.6,148000,2013
Brazos County,Texas,48,41,6.4,197642,147903,2105,81.3,853,0.5261,786,38310,21720,147903,197642,21360,31.2,151400,2013
Breathitt County,Kentucky,21,25,12.3,13776,13526,86,81.2,488,0.4678,19,24045,14706,13526,13776,84,10.0,47400,2013
Breckinridge County,Kentucky,21,27,14.8,20059,19215,132,78.6,513,0.4159,17,38907,18101,19215,20059,491,8.3,82700,2013
Bremer County,Iowa,19,17,15.4,24387,23657,111,79.6,588,0.3942,37,61216,28727,23657,24387,367,12.4,145300,2013
Brevard County,Florida,12,9,19.4,545667,456026,5736,82.5,899,0.4437,1748,48039,27009,456026,545667,54822,8.8,144900,2013
Brewster County,Texas,48,43,16.5,9244,8653,146,82.9,606,0.504,109,40477,27796,8653,9244,94,12.1,111000,2013
Briscoe County,Texas,48,45,20.5,1615,1486,3,80.5,543,0.4271,1,36250,20697,1486,1615,42,10.7,51600,2013
Bristol Bay Borough,Alaska,2,60,8.2,933,521,14,78.7,1117,0.3485,287,79531,37024,521,933,1,6.6,175000,2013
Bristol City,Virginia,51,520,15.7,17713,16033,268,80.2,623,0.4284,122,32221,18820,16033,17713,1164,8.8,110800,2013
Bristol County,Massachusetts,25,5,12.6,549870,488296,7068,79.9,810,0.4532,946,55298,28837,488296,549870,19403,10.1,278100,2013
Bristol County,Rhode Island,44,1,15.3,49426,47261,436,81.7,922,0.4845,72,71238,38893,47261,49426,227,12.4,341000,2013
Broadwater County,Montana,30,7,19.1,5666,5387,48,79.7,498,0.4261,19,45932,24270,5387,5666,27,6.6,174000,2013
Bronx County,New York,36,5,8.7,1397315,308645,35039,74.8,1032,0.4907,7610,34388,18171,308645,1397315,478157,12.6,374500,2013
Brooke County,West Virginia,54,9,16.9,23932,23188,164,83.1,570,0.4118,51,42493,22815,23188,23932,452,10.0,82300,2013
Brookings County,South Dakota,46,11,8.7,32295,30060,225,83.0,659,0.4431,309,46896,23105,30060,32295,362,30.1,147400,2013
Brooks County,Georgia,13,27,14.7,15885,9433,78,78.6,584,0.4742,17,34419,19409,9433,15885,5614,9.2,101400,2013
Brooks County,Texas,48,47,13.5,7225,6210,59,74.1,415,0.525,0,21865,14345,6210,7225,3,15.4,47300,2013
Broome County,New York,36,7,14.2,199298,175393,1937,81.7,678,0.4507,573,45958,24835,175393,199298,9572,14.2,107900,2013
Broomfield County,Colorado,8,14,8.9,57171,49804,573,76.2,1165,0.4179,144,77998,37442,49804,57171,534,8.4,275900,2013
Broward County,Florida,12,11,12.8,1784889,1129974,21324,79.5,1171,0.4769,3858,51251,28205,1129974,1784889,484677,8.9,181500,2013
Brown County,Illinois,17,9,8.4,6904,5714,23,89.1,545,0.4479,6,42194,20555,5714,6904,997,13.9,83600,2013
Brown County,Indiana,18,13,17.8,15128,14762,87,81.8,887,0.4202,173,51568,25833,14762,15128,28,6.3,157400,2013
Brown County,Kansas,20,13,16.8,9969,8552,127,77.4,526,0.423,1018,39968,21046,8552,9969,150,7.2,77100,2013
Brown County,Minnesota,27,15,16.6,25643,25006,142,79.7,583,0.4218,24,48256,26576,25006,25643,84,10.1,121900,2013
Brown County,Nebraska,31,17,20.6,3167,3123,21,81.1,451,0.4455,0,33647,21843,3123,3167,1,6.9,58900,2013
Brown County,Ohio,39,15,14.0,44604,43463,339,77.7,667,0.4205,16,44341,21206,43463,44604,408,8.0,116300,2013
Brown County,South Dakota,46,13,14.0,36982,34449,264,78.3,559,0.4189,1280,51398,27138,34449,36982,396,10.1,133900,2013
Brown County,Texas,48,49,16.1,37942,34525,300,77.9,616,0.4681,286,39776,21236,34525,37942,1498,9.7,87600,2013
Brown County,Wisconsin,55,9,10.3,250597,221444,2486,77.4,699,0.4393,6005,53119,27787,221444,250597,5783,9.7,158700,2013
Brule County,South Dakota,46,15,15.4,5286,4664,27,77.0,513,0.3899,504,45284,21928,4664,5286,0,6.9,92500,2013
Brunswick County,North Carolina,37,19,22.8,110324,92642,965,83.0,860,0.4476,326,46438,26839,92642,110324,12069,6.6,186600,2013
Brunswick County,Virginia,51,25,14.4,17220,7149,108,85.2,617,0.4283,0,36293,16060,7149,17220,9843,11.8,105600,2013
Bryan County,Georgia,13,29,8.4,31410,25130,358,72.3,1076,0.3979,60,64707,27556,25130,31410,4351,8.1,182400,2013
Bryan County,Oklahoma,40,13,15.0,43079,32107,463,78.4,639,0.4485,4501,38897,20524,32107,43079,720,11.7,88900,2013
Buchanan County,Iowa,19,19,14.0,20954,20473,105,75.8,646,0.4192,39,55553,27038,20473,20954,187,7.2,122200,2013
Buchanan County,Missouri,29,21,11.4,89419,80184,959,78.5,684,0.4336,259,44363,21961,80184,89419,3994,11.5,109700,2013
Buchanan County,Virginia,51,27,15.3,23920,23032,72,84.3,596,0.4571,5,29848,17489,23032,23920,510,8.2,68200,2013
Buckingham County,Virginia,51,29,12.6,17126,10686,67,84.5,708,0.4254,46,38648,17167,10686,17126,6015,8.1,128800,2013
Bucks County,Pennsylvania,42,17,13.4,625977,561169,4972,79.5,1107,0.4362,720,76555,37466,561169,625977,23113,8.2,309900,2013
Buena Vista City,Virginia,51,530,17.0,6699,6052,68,81.7,637,0.3922,0,36591,18453,6052,6699,505,13.3,118900,2013
Buena Vista County,Iowa,19,21,12.7,20350,16370,229,77.1,565,0.422,20,46951,22899,16370,20350,509,11.7,97700,2013
Buffalo County,Nebraska,31,19,10.5,46885,43775,379,77.5,678,0.427,73,50963,24830,43775,46885,367,16.5,139800,2013
Buffalo County,South Dakota,46,17,6.0,1966,338,9,64.8,545,0.4267,1549,30962,11405,338,1966,10,11.2,38800,2013
Buffalo County,Wisconsin,55,11,17.3,13466,13104,68,80.9,624,0.4094,59,47384,24500,13104,13466,37,7.1,140900,2013
Bullitt County,Kentucky,21,29,11.0,75250,72612,510,78.1,778,0.3767,199,54836,24308,72612,75250,532,8.8,145500,2013
Bulloch County,Georgia,13,31,8.1,71190,47070,793,81.3,717,0.4996,268,35840,18587,47070,71190,19905,28.4,134900,2013
Bullock County,Alabama,1,11,10.8,10746,3001,71,80.5,492,0.4899,4,32033,18628,3001,10746,7614,7.1,70600,2013
Buncombe County,North Carolina,37,21,14.5,241801,214603,2638,81.2,806,0.4568,759,44713,26159,214603,241801,15484,8.9,191200,2013
Bureau County,Illinois,17,11,16.4,34594,33210,256,79.4,636,0.4475,121,48977,26705,33210,34594,231,7.7,101200,2013
Burke County,Georgia,13,33,11.1,23223,11197,207,73.4,567,0.4654,10,31494,16171,11197,23223,11572,9.9,80000,2013
Burke County,North Carolina,37,23,14.2,90591,77077,682,81.3,605,0.4343,279,37263,19701,77077,90591,5662,11.1,110900,2013
Burke County,North Dakota,38,13,15.5,2094,2024,36,82.1,607,0.4463,9,53693,32908,2024,2094,19,7.5,77900,2013
Burleigh County,North Dakota,38,15,11.8,83906,77883,837,79.1,676,0.4334,3204,61811,32876,77883,83906,555,10.2,172800,2013
Burleson County,Texas,48,51,16.9,17201,14284,81,76.3,673,0.4216,0,45651,21529,14284,17201,1947,8.2,87800,2013
Burlington County,New Jersey,34,5,12.3,449964,332572,3193,79.5,1186,0.4161,472,78446,36835,332572,449964,73126,9.6,252500,2013
Burnet County,Texas,48,53,18.4,43230,40678,424,79.5,806,0.4292,304,48115,24998,40678,43230,909,7.9,152600,2013
Burnett County,Wisconsin,55,13,23.3,15449,14156,92,82.8,580,0.4218,804,39564,22843,14156,15449,87,5.4,147600,2013
Burt County,Nebraska,31,21,20.2,6748,6423,47,80.3,591,0.4247,167,46817,25203,6423,6748,79,6.0,85700,2013
Butler County,Alabama,1,13,14.6,20624,11300,112,76.6,560,0.4659,24,29918,17403,11300,20624,9024,8.4,74700,2013
Butler County,Iowa,19,23,18.2,14909,14688,97,78.7,562,0.3876,41,52026,25269,14688,14909,37,6.6,100400,2013
Butler County,Kansas,20,15,11.2,65786,61295,551,76.1,699,0.4153,471,56454,27329,61295,65786,1045,10.1,127800,2013
Butler County,Kentucky,21,31,14.9,12746,12404,68,79.8,558,0.4464,129,35430,18136,12404,12746,103,8.0,87300,2013
Butler County,Missouri,29,23,15.7,42946,38972,488,77.9,578,0.4482,148,34969,19246,38972,42946,2123,8.5,89700,2013
Butler County,Nebraska,31,23,17.4,8334,8132,38,78.2,588,0.4341,30,50247,27673,8132,8334,60,6.5,99200,2013
Butler County,Ohio,39,17,10.6,369650,320355,2909,76.8,798,0.4316,482,56610,26813,320355,369650,27534,11.8,157400,2013
Butler County,Pennsylvania,42,19,13.7,184535,178204,1273,80.2,739,0.4378,177,58230,30957,178204,184535,2075,9.4,169700,2013
Butte County,California,6,7,14.0,220542,185351,3172,81.4,890,0.457,2353,43752,23787,185351,220542,2963,15.9,225900,2013
Butte County,Idaho,16,23,18.7,2786,2631,18,75.4,535,0.4731,4,41131,20995,2631,2786,38,7.2,110300,2013
Butte County,South Dakota,46,19,15.9,10197,9645,88,76.4,530,0.4167,148,41332,21744,9645,10197,19,8.9,111900,2013
Butts County,Georgia,13,35,10.3,23563,16504,89,81.9,807,0.3969,7,49754,20363,16504,23563,6597,12.1,125400,2013
Cabarrus County,North Carolina,37,25,10.1,181415,141557,1795,74.7,794,0.4208,808,53551,25247,141557,181415,28320,8.1,167800,2013
Cabell County,West Virginia,54,11,13.8,96604,88302,1212,81.8,638,0.4978,190,38374,23647,88302,96604,4380,12.5,105400,2013
Cache County,Utah,49,5,7.3,114181,104255,1278,70.9,677,0.4239,658,49506,20074,104255,114181,716,16.9,189100,2013
Caddo County,Oklahoma,40,15,12.4,29605,18552,139,77.9,534,0.4316,6940,39267,17858,18552,29605,818,9.2,74900,2013
Caddo Parish,Louisiana,22,17,11.9,255551,124201,3274,76.8,725,0.4916,947,41053,24308,124201,255551,121275,10.1,121700,2013
Calaveras County,California,6,9,22.1,45147,41320,415,83.0,1061,0.4316,430,55295,29329,41320,45147,386,7.1,254800,2013
Calcasieu Parish,Louisiana,22,19,11.5,193528,137458,1252,77.0,739,0.4736,752,43499,24355,137458,193528,47997,10.5,118300,2013
Caldwell County,Kentucky,21,33,16.8,12946,12081,125,79.6,520,0.4636,0,37127,20327,12081,12946,625,7.6,86600,2013
Caldwell County,Missouri,29,25,16.2,9249,8956,108,78.1,661,0.4168,4,41169,21482,8956,9249,62,7.6,83600,2013
Caldwell County,North Carolina,37,27,14.2,82407,73930,750,79.9,611,0.4611,391,34357,19228,73930,82407,3864,9.1,105800,2013
Caldwell County,Texas,48,55,10.9,38465,27228,289,77.4,737,0.4435,458,44152,19673,27228,38465,2743,13.3,104000,2013
Caldwell Parish,Louisiana,22,21,12.2,10083,8142,107,79.5,539,0.5016,9,39385,22782,8142,10083,1764,9.5,66200,2013
Caledonia County,Vermont,50,5,14.6,31157,30074,372,81.2,683,0.4363,94,45395,23584,30074,31157,210,10.5,164300,2013
Calhoun County,Alabama,1,15,12.8,117714,88358,982,78.5,615,0.4594,314,39962,20828,88358,117714,24385,11.0,100600,2013
Calhoun County,Arkansas,5,13,15.3,5319,3936,42,83.8,593,0.4255,0,30980,17763,3936,5319,1344,11.6,58300,2013
Calhoun County,Florida,12,13,13.6,14700,12020,27,82.9,573,0.4313,236,32780,14675,12020,14700,2088,8.9,70000,2013
Calhoun County,Georgia,13,37,7.7,6592,2254,45,85.1,496,0.5503,37,26986,14868,2254,6592,3930,10.6,53000,2013
Calhoun County,Illinois,17,13,18.9,5062,4978,21,81.0,593,0.424,3,50436,26924,4978,5062,6,7.5,112300,2013
Calhoun County,Iowa,19,25,19.5,9952,9653,45,81.0,493,0.4342,24,44484,25766,9653,9952,126,8.0,72200,2013
Calhoun County,Michigan,26,25,13.4,135534,112570,1389,78.3,671,0.4503,825,42110,22978,112570,135534,14788,9.7,98300,2013
Calhoun County,Mississippi,28,13,14.7,14875,10509,110,76.5,501,0.4423,5,30000,17034,10509,14875,4157,8.1,61500,2013
Calhoun County,South Carolina,45,17,16.3,15109,8367,93,79.5,674,0.4576,22,40704,23023,8367,15109,6325,8.6,100600,2013
Calhoun County,Texas,48,57,15.2,21503,19014,112,77.4,729,0.4301,32,47027,23381,19014,21503,597,8.9,98100,2013
Calhoun County,West Virginia,54,13,18.0,7603,7412,23,84.0,477,0.4351,6,31679,18053,7412,7603,21,7.2,75900,2013
Callahan County,Texas,48,59,17.8,13535,12740,65,80.1,626,0.4377,2,44902,22855,12740,13535,133,8.2,74300,2013
Callaway County,Missouri,29,27,11.3,44276,40772,256,80.3,632,0.4226,165,47964,23171,40772,44276,1687,11.0,124500,2013
Calloway County,Kentucky,21,35,14.2,37383,34428,554,82.7,541,0.4686,109,39677,21490,34428,37383,1437,19.4,114800,2013
Calumet County,Wisconsin,55,15,10.8,49288,46932,226,76.1,679,0.3825,247,65130,28907,46932,49288,157,7.9,164300,2013
Calvert County,Maryland,24,9,10.5,89332,72777,498,77.1,1452,0.3666,129,95477,38260,72777,89332,12116,8.9,357000,2013
Camas County,Idaho,16,25,15.4,1267,1133,17,78.0,676,0.4349,7,41154,21830,1133,1267,0,11.1,163000,2013
Cambria County,Pennsylvania,42,21,16.0,142448,133776,1215,82.3,550,0.4309,124,41730,22659,133776,142448,5065,9.7,87100,2013
Camden County,Georgia,13,39,8.8,50799,38101,635,76.3,886,0.4023,229,51990,22701,38101,50799,9923,15.1,154500,2013
Camden County,Missouri,29,29,22.9,43822,42461,215,82.9,623,0.4187,185,43458,23038,42461,43822,190,6.7,170200,2013
Camden County,New Jersey,34,7,11.3,513512,328064,4864,77.4,975,0.4575,1693,61683,30592,328064,513512,99619,9.5,210700,2013
Camden County,North Carolina,37,29,13.2,10037,8245,16,78.7,1030,0.3799,65,56607,25620,8245,10037,1346,10.4,220200,2013
Cameron County,Pennsylvania,42,23,19.5,5000,4907,58,84.5,493,0.3986,4,41410,22747,4907,5000,38,7.4,69500,2013
Cameron County,Texas,48,61,10.3,410710,373365,2883,69.3,639,0.4967,728,33179,14710,373365,410710,2289,10.8,78300,2013
Cameron Parish,Louisiana,22,23,12.2,6789,6653,12,77.3,723,0.4168,0,64574,29559,6653,6789,114,9.1,112900,2013
Camp County,Texas,48,63,16.4,12415,9647,113,74.6,629,0.4459,18,37079,19176,9647,12415,2300,8.4,103100,2013
Campbell County,Kentucky,21,37,11.2,90606,85103,780,78.9,722,0.4292,60,54306,26945,85103,90606,2486,11.2,146300,2013
Campbell County,South Dakota,46,21,31.2,1435,1350,8,83.2,475,0.4436,68,35729,24152,1350,1435,0,2.6,52100,2013
Campbell County,Tennessee,47,13,16.4,40553,39595,486,80.5,522,0.442,76,31943,16812,39595,40553,228,7.9,91500,2013
Campbell County,Virginia,51,31,15.1,54967,45262,392,80.8,685,0.4135,82,47162,23231,45262,54967,7619,9.4,150300,2013
Campbell County,Wyoming,56,5,5.6,46901,43216,147,75.0,912,0.3681,759,79488,33850,43216,46901,332,9.6,201900,2013
Canadian County,Oklahoma,40,17,10.1,119546,99039,727,75.4,856,0.3775,5080,63629,27552,99039,119546,2689,8.1,139200,2013
Candler County,Georgia,13,43,13.9,11045,7442,50,74.8,538,0.4766,12,35070,17974,7442,11045,2672,11.3,86700,2013
Cannon County,Tennessee,47,15,14.7,13790,13280,75,80.1,613,0.4507,27,40689,20566,13280,13790,210,8.3,116400,2013
Canyon County,Idaho,16,27,10.4,192153,175620,1901,71.3,738,0.407,1570,42105,17755,175620,192153,789,9.7,122800,2013
Cape Girardeau County,Missouri,29,31,12.7,76322,68156,609,79.4,658,0.444,181,46516,23751,68156,76322,5500,13.8,137500,2013
Cape May County,New Jersey,34,9,19.8,96684,87796,1150,83.3,1026,0.4404,504,56494,32948,87796,96684,4447,8.9,312800,2013
Carbon County,Montana,30,9,19.9,10126,9813,54,82.8,729,0.4337,80,47831,27599,9813,10126,9,5.4,205900,2013
Carbon County,Pennsylvania,42,25,16.3,65074,62410,290,81.5,757,0.4133,105,48900,24861,62410,65074,952,7.3,146700,2013
Carbon County,Utah,49,7,12.6,21227,19469,229,76.1,605,0.4078,248,44724,20155,19469,21227,127,11.2,122700,2013
Carbon County,Wyoming,56,7,11.9,15809,14420,81,78.7,777,0.3722,176,55347,25947,14420,15809,128,9.1,143500,2013
Caribou County,Idaho,16,29,14.3,6867,6762,23,74.4,524,0.3859,0,53586,23586,6762,6867,4,7.2,116300,2013
Carlisle County,Kentucky,21,39,17.1,5064,4924,21,81.4,518,0.3978,42,39049,21500,4924,5064,61,7.7,73800,2013
Carlton County,Minnesota,27,17,13.1,35398,31680,245,79.9,696,0.3978,1873,53016,24434,31680,35398,556,7.8,159000,2013
Caroline County,Maryland,24,11,12.7,32871,26484,131,77.5,895,0.4113,74,58632,25211,26484,32871,4587,9.2,212800,2013
Caroline County,Virginia,51,33,12.2,28757,19109,146,78.1,1025,0.3968,173,57218,25718,19109,28757,8449,9.3,188400,2013
Carroll County,Arkansas,5,15,18.4,27531,25397,117,80.5,600,0.438,237,36584,20637,25397,27531,46,8.0,120000,2013
Carroll County,Georgia,13,45,10.0,111160,85370,730,76.4,793,0.4467,371,46147,21227,85370,111160,20245,13.3,118500,2013
Carroll County,Illinois,17,15,20.0,15199,14632,117,81.7,541,0.4438,19,47985,27118,14632,15199,128,7.4,100100,2013
