County,State,State_FIPS,County_FIPS,asian_population,per_capita_income,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,total_population_race,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,median_household_income,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,disability_rate,Year
Carroll County,Virginia,51,35,28960.0,24868.0,36.3,109200.0,150.0,18.8,29738.0,111.0,8.0,88.1,3.5,0.4586,43532.0,249.0,28960.0,29738.0,30.9,15.0,556.0,31.6,13.1,18.3,2018
Carson City,Nevada,32,510,43725.0,29767.0,27.5,242200.0,954.0,20.6,54467.0,1366.0,4.1,89.4,6.2,0.4543,52034.0,919.0,43725.0,54467.0,26.7,13.7,895.0,35.2,22.3,21.9,2018
Carson County,Texas,48,65,5713.0,32917.0,28.8,111100.0,78.0,25.5,6032.0,79.0,1.7,88.6,2.3,0.4151,70087.0,22.0,5713.0,6032.0,24.1,6.3,758.0,35.7,30.4,10.9,2018
Carter County,Kentucky,21,43,26642.0,17782.0,40.1,88400.0,267.0,22.5,27290.0,110.0,11.9,92.1,7.8,0.4846,33067.0,127.0,26642.0,27290.0,25.1,25.9,570.0,36.4,13.7,19.8,2018
Carter County,Missouri,29,35,5900.0,21884.0,37.3,116600.0,3.0,24.9,6197.0,60.0,3.2,83.0,7.1,0.4526,39415.0,22.0,5900.0,6197.0,27.5,17.2,607.0,33.9,16.5,25.8,2018
Carter County,Montana,30,11,1285.0,32001.0,36.2,101300.0,0.0,19.5,1318.0,7.0,2.1,82.1,2.1,0.5126,44196.0,3.0,1285.0,1318.0,33.5,13.3,725.0,26.9,17.5,13.6,2018
Carter County,Oklahoma,40,19,36108.0,25110.0,36.4,112400.0,3108.0,25.4,48406.0,3843.0,3.6,84.6,5.5,0.453,49216.0,348.0,36108.0,48406.0,22.3,16.9,753.0,37.7,20.6,18.8,2018
Carter County,Tennessee,47,19,54400.0,21963.0,39.4,119600.0,860.0,19.0,56391.0,198.0,6.7,88.1,5.4,0.47,36589.0,470.0,54400.0,56391.0,28.1,23.5,622.0,34.7,16.8,21.7,2018
Carteret County,North Carolina,37,31,61988.0,32005.0,25.1,207900.0,3880.0,18.0,68920.0,192.0,2.8,88.6,6.6,0.4561,54428.0,648.0,61988.0,68920.0,31.8,11.6,896.0,31.5,28.4,19.6,2018
Carver County,Minnesota,27,19,92839.0,45637.0,19.0,301900.0,1719.0,27.3,100416.0,205.0,1.6,96.9,2.1,0.4279,97895.0,430.0,92839.0,100416.0,16.4,4.0,1082.0,38.1,48.1,6.7,2018
Cascade County,Montana,30,13,71996.0,29212.0,31.6,171700.0,1055.0,22.5,81746.0,3950.0,2.4,91.2,4.1,0.4691,48160.0,1100.0,71996.0,81746.0,24.6,12.8,737.0,37.9,26.0,14.9,2018
Casey County,Kentucky,21,45,15369.0,18285.0,38.4,80700.0,112.0,22.6,15796.0,44.0,13.3,90.2,8.3,0.4523,34457.0,117.0,15369.0,15796.0,26.5,26.6,509.0,35.1,13.3,22.4,2018
Cass County,Illinois,17,17,11382.0,26245.0,43.2,78100.0,590.0,24.1,12665.0,17.0,5.1,92.9,6.3,0.4215,51997.0,113.0,11382.0,12665.0,22.2,13.5,601.0,36.6,14.6,13.2,2018
Cass County,Indiana,18,17,31935.0,23918.0,38.3,85500.0,463.0,23.4,38084.0,187.0,7.1,89.5,6.0,0.4185,47545.0,255.0,31935.0,38084.0,23.5,14.6,654.0,36.6,13.9,15.2,2018
Cass County,Iowa,19,29,12811.0,27853.0,37.9,97800.0,40.0,22.0,13191.0,54.0,3.6,95.2,2.4,0.4255,48178.0,177.0,12811.0,13191.0,29.6,11.6,646.0,32.0,19.6,13.4,2018
Cass County,Michigan,26,27,45663.0,29923.0,33.2,134700.0,2549.0,21.0,51460.0,577.0,2.9,92.5,6.7,0.4473,53571.0,281.0,45663.0,51460.0,27.7,12.1,729.0,32.9,19.1,17.9,2018
Cass County,Minnesota,27,21,24519.0,29053.0,33.2,182700.0,125.0,21.2,29022.0,3364.0,2.1,92.7,5.4,0.437,50173.0,239.0,24519.0,29022.0,33.5,14.6,713.0,28.1,22.4,15.5,2018
