County,State,State_FIPS,County_FIPS,housing_cost_burden
Martin County,Indiana,18,101,84
Miami County,Indiana,18,103,215
Monroe County,Indiana,18,105,2162
Montgomery County,Indiana,18,107,413
Morgan County,Indiana,18,109,453
Newton County,Indiana,18,111,148
Noble County,Indiana,18,113,433
Ohio County,Indiana,18,115,51
Orange County,Indiana,18,117,201
Owen County,Indiana,18,119,149
Parke County,Indiana,18,121,111
Perry County,Indiana,18,123,126
Pike County,Indiana,18,125,52
Porter County,Indiana,18,127,813
Posey County,Indiana,18,129,87
Pulaski County,Indiana,18,131,39
Putnam County,Indiana,18,133,116
Randolph County,Indiana,18,135,183
Ripley County,Indiana,18,137,136
Rush County,Indiana,18,139,99
Saint Joseph County,Indiana,18,141,2643
Scott County,Indiana,18,143,276
Shelby County,Indiana,18,145,437
Spencer County,Indiana,18,147,100
Starke County,Indiana,18,149,109
Steuben County,Indiana,18,151,238
Sullivan County,Indiana,18,153,131
Switzerland County,Indiana,18,155,119
Tippecanoe County,Indiana,18,157,2674
Tipton County,Indiana,18,159,123
Union County,Indiana,18,161,52
Vanderburgh County,Indiana,18,163,2304
Vermillion County,Indiana,18,165,145
Vigo County,Indiana,18,167,1358
Wabash County,Indiana,18,169,147
Warren County,Indiana,18,171,31
Warrick County,Indiana,18,173,274
Washington County,Indiana,18,175,203
Wayne County,Indiana,18,177,860
Wells County,Indiana,18,179,387
White County,Indiana,18,181,138
Whitley County,Indiana,18,183,240
Adair County,Iowa,19,001,37
Adams County,Iowa,19,003,30
Allamakee County,Iowa,19,005,29
Appanoose County,Iowa,19,007,129
Audubon County,Iowa,19,009,15
Benton County,Iowa,19,011,158
Black Hawk County,Iowa,19,013,1441
Boone County,Iowa,19,015,250
Bremer County,Iowa,19,017,111
Buchanan County,Iowa,19,019,105
Buena Vista County,Iowa,19,021,229
Butler County,Iowa,19,023,97
Calhoun County,Iowa,19,025,45
Carroll County,Iowa,19,027,218
Cass County,Iowa,19,029,137
Cedar County,Iowa,19,031,67
Cerro Gordo County,Iowa,19,033,476
