County,State,State_FIPS,County_FIPS,total_population
Richland County,Illinois,17,159,15766.0
Rock Island County,Illinois,17,161,143873.0
Saint Clair County,Illinois,17,163,262338.0
Saline County,Illinois,17,165,23994.0
Sangamon County,Illinois,17,167,196861.0
Schuyler County,Illinois,17,169,6953.0
Scott County,Illinois,17,171,5005.0
Shelby County,Illinois,17,173,21737.0
Stark County,Illinois,17,175,5447.0
Stephenson County,Illinois,17,177,45093.0
Tazewell County,Illinois,17,179,133195.0
Union County,Illinois,17,181,16968.0
Vermilion County,Illinois,17,183,77563.0
Wabash County,Illinois,17,185,11546.0
Warren County,Illinois,17,187,17146.0
Washington County,Illinois,17,189,14058.0
Wayne County,Illinois,17,191,16402.0
White County,Illinois,17,193,13868.0
Whiteside County,Illinois,17,195,56016.0
Will County,Illinois,17,197,689315.0
Williamson County,Illinois,17,199,67102.0
Winnebago County,Illinois,17,201,284819.0
