County,State,State_FIPS,County_FIPS,gini_index
Cook County,Illinois,17,031,0.5027
Crawford County,Illinois,17,033,0.4516
Cumberland County,Illinois,17,035,0.3911
DeKalb County,Illinois,17,037,0.4306
De Witt County,Illinois,17,039,0.4387
Douglas County,Illinois,17,041,0.4183
DuPage County,Illinois,17,043,0.4535
Edgar County,Illinois,17,045,0.4551
Edwards County,Illinois,17,047,0.4129
Effingham County,Illinois,17,049,0.4339
Fayette County,Illinois,17,051,0.4329
Ford County,Illinois,17,053,0.4185
Franklin County,Illinois,17,055,0.4301
Fulton County,Illinois,17,057,0.4077
Gallatin County,Illinois,17,059,0.4128
Greene County,Illinois,17,061,0.4272
Grundy County,Illinois,17,063,0.4053
Hamilton County,Illinois,17,065,0.4367
Hancock County,Illinois,17,067,0.4033
Hardin County,Illinois,17,069,0.4692
Henderson County,Illinois,17,071,0.4091
Henry County,Illinois,17,073,0.4175
Iroquois County,Illinois,17,075,0.4339
Jackson County,Illinois,17,077,0.5332
Jasper County,Illinois,17,079,0.3871
Jefferson County,Illinois,17,081,0.4483
Jersey County,Illinois,17,083,0.3981
Jo Daviess County,Illinois,17,085,0.4322
Johnson County,Illinois,17,087,0.4453
Kane County,Illinois,17,089,0.4382
Kankakee County,Illinois,17,091,0.4201
Kendall County,Illinois,17,093,0.3562
Knox County,Illinois,17,095,0.4383
Lake County,Illinois,17,097,0.4821
LaSalle County,Illinois,17,099,0.4258
Lawrence County,Illinois,17,101,0.4085
Lee County,Illinois,17,103,0.4157
Livingston County,Illinois,17,105,0.4221
Logan County,Illinois,17,107,0.437
McDonough County,Illinois,17,109,0.4806
McHenry County,Illinois,17,111,0.4003
McLean County,Illinois,17,113,0.4567
Macon County,Illinois,17,115,0.4702
Macoupin County,Illinois,17,117,0.4119
Madison County,Illinois,17,119,0.4419
Marion County,Illinois,17,121,0.4324
Marshall County,Illinois,17,123,0.4024
Mason County,Illinois,17,125,0.425
Massac County,Illinois,17,127,0.4476
Menard County,Illinois,17,129,0.4215
Mercer County,Illinois,17,131,0.391
Monroe County,Illinois,17,133,0.3911
Montgomery County,Illinois,17,135,0.4321
Morgan County,Illinois,17,137,0.4309
Moultrie County,Illinois,17,139,0.4079
Ogle County,Illinois,17,141,0.4132
Peoria County,Illinois,17,143,0.4636
Perry County,Illinois,17,145,0.4667
Piatt County,Illinois,17,147,0.3971
Pike County,Illinois,17,149,0.4114
Pope County,Illinois,17,151,0.4316
Pulaski County,Illinois,17,153,0.4675
Putnam County,Illinois,17,155,0.4104
Randolph County,Illinois,17,157,0.4153
Richland County,Illinois,17,159,0.4268
Rock Island County,Illinois,17,161,0.438
Saint Clair County,Illinois,17,163,0.4701
Saline County,Illinois,17,165,0.4572
Sangamon County,Illinois,17,167,0.4532
Schuyler County,Illinois,17,169,0.4122
Scott County,Illinois,17,171,0.4401
Shelby County,Illinois,17,173,0.3951
Stark County,Illinois,17,175,0.4369
Stephenson County,Illinois,17,177,0.4284
Tazewell County,Illinois,17,179,0.4152
Union County,Illinois,17,181,0.4472
Vermilion County,Illinois,17,183,0.4308
Wabash County,Illinois,17,185,0.4149
Warren County,Illinois,17,187,0.4264
Washington County,Illinois,17,189,0.4336
Wayne County,Illinois,17,191,0.4206
White County,Illinois,17,193,0.4584
Whiteside County,Illinois,17,195,0.4206
Will County,Illinois,17,197,0.406
Williamson County,Illinois,17,199,0.4479
Winnebago County,Illinois,17,201,0.4493
Woodford County,Illinois,17,203,0.4097
Adams County,Indiana,18,001,0.4255
Allen County,Indiana,18,003,0.4528
Bartholomew County,Indiana,18,005,0.4255
