County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,year,asian_population,total_population_race
Placer County,California,6,61,295714,350074,14.1,3567,1220,77.8,0.4246,2579,73356,34917,354900,4270,8.3,2012,,
Plumas County,California,6,63,18139,19926,20.8,133,844,83.5,0.4459,428,45358,28329,251200,253,6.9,2012,,
Riverside County,California,6,65,1455085,2192982,10.8,20234,1163,74.6,0.4397,22688,57096,23863,248100,138216,10.8,2012,,
Sacramento County,California,6,67,853146,1422348,9.8,20245,1019,76.5,0.4392,12829,55846,26856,249800,143842,10.4,2012,,
San Benito County,California,6,69,46065,55467,9.2,667,1266,74.2,0.4179,569,63939,25791,361700,826,10.0,2012,,
San Bernardino County,California,6,71,1272922,2041029,8.0,19468,1099,73.9,0.4328,21023,54750,21636,241500,178176,11.8,2012,,
San Diego County,California,6,73,2217577,3100500,9.9,46486,1282,79.1,0.4578,21872,63373,30683,419400,156645,12.8,2012,,
San Francisco County,California,6,75,409445,807755,11.8,17981,1447,88.1,0.5135,3690,73802,47278,750900,48419,8.8,2012,,
San Joaquin County,California,6,77,410319,687036,9.1,7511,1021,73.6,0.4413,6760,53895,22696,225400,50463,10.9,2012,,
San Luis Obispo County,California,6,79,227208,270121,13.5,2917,1197,83.5,0.4487,2724,59628,30218,449300,5809,16.3,2012,,
San Mateo County,California,6,81,425330,721183,11.7,9069,1541,79.5,0.4765,2733,87751,45458,734100,20231,8.3,2012,,
Santa Barbara County,California,6,83,324705,423594,11.2,5675,1326,79.4,0.4739,4674,62723,30114,482400,8396,15.7,2012,,
Santa Clara County,California,6,85,901689,1788393,9.7,21149,1508,78.2,0.4543,9860,90747,41041,656600,46543,9.4,2012,,
Santa Cruz County,California,6,87,215815,262340,9.9,3968,1380,81.1,0.4633,1325,66571,32846,576500,2707,14.8,2012,,
Shasta County,California,6,89,155637,177693,15.6,1765,916,79.6,0.4478,4116,44396,23639,233400,1633,9.5,2012,,
Sierra County,California,6,91,2949,3163,22.0,22,1026,87.8,0.4341,10,42500,24121,265600,36,6.0,2012,,
Siskiyou County,California,6,93,38804,44673,19.1,481,792,81.5,0.4503,1235,37948,22304,215200,555,7.9,2012,,
Solano County,California,6,95,218264,414209,10.0,4948,1249,78.0,0.4125,2186,69006,29170,290500,58858,10.5,2012,,
Sonoma County,California,6,97,391986,483456,12.4,6268,1243,80.1,0.4469,5785,63565,32898,430900,7739,10.1,2012,,
Stanislaus County,California,6,99,398065,515115,9.4,5964,978,74.0,0.4458,5044,49866,21785,192200,14493,10.8,2012,,
Sutter County,California,6,101,63070,94615,11.4,1287,869,75.2,0.4403,1362,50510,22816,204200,1667,10.4,2012,,
Tehama County,California,6,103,54624,63200,14.9,1162,824,77.4,0.4317,1518,40307,20259,189500,376,8.7,2012,,
Trinity County,California,6,105,12130,13693,21.5,162,741,86.1,0.4417,185,36569,23014,258800,119,5.8,2012,,
Tulare County,California,6,107,351770,441877,8.5,4646,805,70.8,0.4478,5545,43803,18021,172100,7163,11.2,2012,,
Tuolumne County,California,6,109,48178,55205,18.4,783,922,84.6,0.4401,913,48169,26043,282500,1131,8.7,2012,,
Ventura County,California,6,111,600242,822794,10.5,8416,1447,77.0,0.4384,8733,76483,32826,465600,14795,10.5,2012,,
Yolo County,California,6,113,134265,200873,8.9,3173,1085,79.4,0.4679,2417,57260,28137,329000,5054,18.9,2012,,
Yuba County,California,6,115,50907,72244,9.2,879,870,73.7,0.4154,1085,46641,20016,180700,2003,10.7,2012,,
Alamosa County,Colorado,8,3,12652,15750,10.2,270,585,78.3,0.5004,182,38045,19657,133200,115,16.5,2012,,
Archuleta County,Colorado,8,7,10827,12109,16.0,134,897,80.8,0.456,85,54007,29771,291300,58,8.3,2012,,
Baca County,Colorado,8,9,3580,3783,21.9,30,454,81.3,0.451,33,39497,22436,72300,16,5.4,2012,,
Bent County,Colorado,8,11,4985,6192,10.4,109,627,89.2,0.4259,169,36297,15259,70600,525,8.5,2012,,
Chaffee County,Colorado,8,15,16799,17879,18.3,265,859,85.9,0.4508,140,45713,27961,256300,500,6.8,2012,,
Cheyenne County,Colorado,8,17,2056,2095,17.0,12,463,80.0,0.3858,5,50357,24502,81700,5,7.1,2012,,
Clear Creek County,Colorado,8,19,8566,9059,12.3,66,849,82.7,0.453,58,60517,36015,278700,33,4.6,2012,,
Conejos County,Colorado,8,21,6857,8241,15.0,95,541,75.9,0.4265,71,32860,17929,106300,6,9.3,2012,,
Costilla County,Colorado,8,23,2922,3556,22.5,7,531,81.9,0.5111,23,25309,18856,90400,12,9.9,2012,,
Crowley County,Colorado,8,25,4777,5747,7.7,19,557,90.4,0.4784,94,38507,17925,80400,441,11.9,2012,,
Custer County,Colorado,8,27,4107,4208,19.7,2,652,86.1,0.4842,10,42534,28019,224000,38,5.1,2012,,
Delta County,Colorado,8,29,28977,30710,19.8,159,779,81.4,0.4583,194,42786,23890,198600,306,7.1,2012,,
Dolores County,Colorado,8,33,1745,1806,21.7,0,574,78.9,0.4266,19,43098,24392,123000,0,3.4,2012,,
Douglas County,Colorado,8,35,261685,286883,7.0,1577,1237,72.0,0.3859,790,101108,43195,335300,3202,5.7,2012,,
Eagle County,Colorado,8,37,46717,51850,5.5,538,1204,79.2,0.4722,228,71030,38665,491500,156,9.1,2012,,
Elbert County,Colorado,8,39,21930,23058,10.0,90,1088,78.5,0.3789,163,80811,35034,334400,73,6.3,2012,,
El Paso County,Colorado,8,41,508314,622816,8.8,7909,884,76.3,0.4364,4847,57531,28776,217500,37927,12.0,2012,,
Fremont County,Colorado,8,43,39965,47006,14.4,588,711,88.2,0.4206,904,40893,19379,161100,2791,7.7,2012,,
Garfield County,Colorado,8,45,50756,56330,7.7,657,1133,76.3,0.3875,287,60215,26989,323100,630,8.7,2012,,
Gilpin County,Colorado,8,47,4983,5358,12.1,64,1059,87.6,0.4004,17,62286,35473,295800,44,5.5,2012,,
Grand County,Colorado,8,49,13722,14608,10.7,106,888,82.7,0.3842,66,64416,31319,282200,87,5.1,2012,,
Gunnison County,Colorado,8,51,14660,15385,8.4,187,860,84.3,0.4427,59,50091,28280,327400,121,20.1,2012,,
Huerfano County,Colorado,8,55,4700,6730,24.4,95,676,82.9,0.488,426,32754,23387,159100,137,4.4,2012,,
Jackson County,Colorado,8,57,1351,1397,21.1,11,692,81.6,0.38,10,45298,24803,121800,4,1.5,2012,,
Kiowa County,Colorado,8,61,1366,1393,15.3,15,646,76.1,0.4514,2,41739,21960,76100,2,5.3,2012,,
Kit Carson County,Colorado,8,63,7668,8210,13.6,67,587,82.5,0.3852,65,42832,20846,118400,259,10.1,2012,,
Lake County,Colorado,8,65,5804,7372,4.3,70,804,76.7,0.3925,176,45082,22622,163800,75,5.3,2012,,
La Plata County,Colorado,8,67,44963,51443,11.3,704,971,82.1,0.4256,3240,57407,30562,336800,246,12.1,2012,,
Larimer County,Colorado,8,69,274662,300870,10.7,3621,934,80.5,0.4479,1719,57927,30684,245200,2504,14.5,2012,,
Las Animas County,Colorado,8,71,13203,15385,16.0,157,699,81.6,0.4358,325,41623,21941,143200,175,9.8,2012,,
Lincoln County,Colorado,8,73,4657,5443,13.4,67,640,85.8,0.4464,119,43807,19858,105700,499,9.3,2012,,
Logan County,Colorado,8,75,21164,22541,11.6,147,615,83.1,0.4305,64,41369,22815,121200,327,15.4,2012,,
Mesa County,Colorado,8,77,132245,146562,13.5,1256,848,78.4,0.4424,1584,51029,27030,216600,956,10.3,2012,,
Moffat County,Colorado,8,81,12550,13547,9.7,69,738,76.2,0.3926,287,51008,23974,184800,47,9.2,2012,,
Montezuma County,Colorado,8,83,21409,25424,16.0,229,703,79.6,0.4541,2841,44102,24731,187900,26,7.7,2012,,
Montrose County,Colorado,8,85,37310,40994,16.7,308,816,78.0,0.403,308,47139,23018,200900,260,6.9,2012,,
Morgan County,Colorado,8,87,25478,28200,12.4,223,675,74.6,0.4108,175,42829,20276,138900,728,9.0,2012,,
Otero County,Colorado,8,89,16837,18791,16.0,270,591,78.1,0.4552,597,31860,18416,90900,76,8.7,2012,,
Ouray County,Colorado,8,91,4342,4445,23.2,38,1192,86.3,0.4074,13,66474,34278,400300,0,6.6,2012,,
Park County,Colorado,8,93,15566,16168,12.6,72,1276,83.7,0.3574,91,62594,31419,249600,5,5.1,2012,,
Phillips County,Colorado,8,95,4180,4380,17.0,24,573,74.2,0.3879,18,45339,21037,126900,16,12.0,2012,,
Pitkin County,Colorado,8,97,16226,17000,12.3,137,1354,85.4,0.5437,130,68621,52428,618900,94,5.6,2012,,
Prowers County,Colorado,8,99,11707,12539,12.6,137,528,74.0,0.4553,72,33671,18305,83900,38,10.3,2012,,
Pueblo County,Colorado,8,101,130563,159072,13.8,1589,707,77.1,0.4484,3020,41820,22164,140500,3148,9.8,2012,,
Rio Blanco County,Colorado,8,103,6406,6728,11.9,55,709,78.1,0.3818,103,58393,26473,212000,48,10.5,2012,,
Rio Grande County,Colorado,8,105,9541,11925,15.8,111,584,77.4,0.4471,300,38329,19968,136500,69,7.7,2012,,
Routt County,Colorado,8,107,22494,23385,8.2,230,1201,82.6,0.4293,72,65041,35307,407700,91,10.7,2012,,
Saguache County,Colorado,8,109,5010,6189,14.1,81,593,81.2,0.4838,91,32429,20521,131300,29,9.8,2012,,
San Miguel County,Colorado,8,113,7181,7432,7.7,134,1130,83.6,0.5106,29,63766,44159,489800,15,6.7,2012,,
Sedgwick County,Colorado,8,115,2291,2389,19.4,7,557,81.6,0.4222,2,38401,22202,83200,6,7.5,2012,,
Summit County,Colorado,8,117,25241,27753,8.3,354,1172,84.7,0.4088,214,64680,34575,460500,164,10.2,2012,,
Teller County,Colorado,8,119,21938,23163,13.5,156,854,81.7,0.3958,187,57970,29866,230400,191,5.9,2012,,
Washington County,Colorado,8,121,4643,4796,17.1,53,528,80.7,0.4234,48,43925,24435,112900,20,6.9,2012,,
Yuma County,Colorado,8,125,9529,10032,14.4,130,639,78.0,0.4186,22,45033,23098,123200,15,7.4,2012,,
Adams County,Colorado,8,1,351099,442996,7.3,5251,947,74.0,0.3984,4751,56633,24357,188100,14084,9.5,2012,,
Arapahoe County,Colorado,8,5,432797,574357,8.9,7721,950,76.2,0.4654,4743,60400,32845,230900,57554,8.9,2012,,
Boulder County,Colorado,8,13,260736,297218,8.9,3791,1077,81.2,0.4775,1170,67403,38283,354300,2667,15.6,2012,,
Broomfield County,Colorado,8,14,48998,55913,8.5,430,1101,76.4,0.4117,144,80483,37964,274900,446,8.6,2012,,
Denver County,Colorado,8,31,444522,604356,8.7,11219,863,80.1,0.506,7162,49091,32597,246300,61274,9.9,2012,,
Jefferson County,Colorado,8,59,484284,536095,11.2,5706,958,80.0,0.4322,4040,68748,36069,260800,5837,9.1,2012,,
Weld County,Colorado,8,123,225338,253552,8.9,2066,831,74.6,0.4235,2286,56589,25341,192100,2197,10.8,2012,,
Fairfield County,Connecticut,9,1,699870,918892,11.8,8501,1279,77.0,0.5376,1439,82614,48900,447500,99871,8.4,2012,,
Hartford County,Connecticut,9,3,654726,893504,12.5,9771,960,78.9,0.4635,2327,64752,34356,246400,117181,9.5,2012,,
Litchfield County,Connecticut,9,5,178558,189277,14.4,1650,931,80.8,0.4353,507,71345,37410,272000,2229,7.4,2012,,
Middlesex County,Connecticut,9,7,147872,165639,13.8,1013,1005,80.7,0.4337,126,76659,39776,299600,7618,8.3,2012,,
New Haven County,Connecticut,9,9,649827,860995,12.4,10690,1053,79.3,0.4592,2188,62234,32487,263900,107283,10.3,2012,,
New London County,Connecticut,9,11,226453,273723,12.5,3499,999,80.7,0.4216,1472,68310,33968,260600,14834,11.3,2012,,
Tolland County,Connecticut,9,13,136874,152137,11.0,1277,1025,82.2,0.3925,135,80887,34468,261300,4411,16.5,2012,,
Windham County,Connecticut,9,15,108037,118046,11.2,1088,867,79.6,0.4105,337,58489,27456,219300,2233,10.9,2012,,
Kent County,Delaware,10,1,112428,162785,12.5,1487,935,76.2,0.395,899,55786,24519,205100,39023,11.4,2012,,
New Castle County,Delaware,10,3,363926,539665,10.9,5667,1003,78.7,0.444,1280,64670,32247,251200,128385,11.1,2012,,
Sussex County,Delaware,10,5,157905,197681,19.9,1241,947,81.0,0.428,698,52692,27165,241800,25221,7.9,2012,,
Alachua County,Florida,12,1,174623,247973,9.6,3489,895,83.3,0.5101,570,42818,25287,176300,49795,22.8,2012,,
Baker County,Florida,12,3,22683,27010,9.5,125,711,77.1,0.4111,24,47149,19198,126200,3786,10.3,2012,,
Bay County,Florida,12,5,139352,168957,13.3,1979,933,79.9,0.418,870,47364,24859,163000,17810,10.1,2012,,
Bradford County,Florida,12,7,21868,28404,12.0,229,603,83.5,0.4476,84,39082,17299,117500,5856,9.2,2012,,
Brevard County,Florida,12,9,455284,544019,19.0,5508,909,82.3,0.443,1477,49099,27440,157200,54218,8.8,2012,,
Broward County,Florida,12,11,1123976,1761993,12.5,21121,1165,79.5,0.4733,3853,51603,28547,199900,470059,8.9,2012,,
Calhoun County,Florida,12,13,11805,14639,13.7,77,554,83.7,0.4405,203,32480,15328,74400,2239,8.4,2012,,
Charlotte County,Florida,12,15,145582,160380,33.6,1226,917,87.1,0.4323,335,44596,26604,154300,8984,6.1,2012,,
Citrus County,Florida,12,17,131442,140805,31.9,598,790,85.8,0.4443,442,39034,23195,126000,4113,6.2,2012,,
Clay County,Florida,12,19,158179,190891,10.9,1212,1004,76.3,0.3982,689,59649,26435,167900,19132,9.1,2012,,
Collier County,Florida,12,21,282480,323548,25.7,2833,1028,82.1,0.5344,730,56104,36898,280700,21477,7.6,2012,,
Columbia County,Florida,12,23,52458,67546,13.8,467,736,80.5,0.4323,309,37534,18964,120900,11882,11.7,2012,,
Miami-Dade County,Florida,12,86,1881017,2512219,12.2,30959,1071,79.9,0.5129,3843,43464,23304,221900,477618,10.4,2012,,
DeSoto County,Florida,12,27,27958,34628,15.9,169,705,81.9,0.4228,39,35683,15629,98400,4509,12.8,2012,,
Dixie County,Florida,12,29,14248,16301,18.4,68,585,80.6,0.4061,39,35476,17508,88900,1532,9.4,2012,,
Duval County,Florida,12,31,535374,866431,9.6,10826,930,77.9,0.4617,2616,48906,26170,161200,254680,10.9,2012,,
Escambia County,Florida,12,33,207451,298864,12.7,4028,853,80.6,0.4523,1729,43806,23396,137300,66734,14.1,2012,,
Flagler County,Florida,12,35,77586,95987,24.5,849,1040,81.8,0.4279,195,48134,24788,180300,11032,7.0,2012,,
Franklin County,Florida,12,37,9528,11545,15.9,66,700,87.1,0.4775,16,37428,20546,159800,1724,8.2,2012,,
Gadsden County,Florida,12,39,17330,46823,11.6,180,693,78.6,0.4899,135,35593,18183,112000,26009,9.3,2012,,
Gilchrist County,Florida,12,41,15511,16880,14.9,139,754,81.7,0.4772,38,36521,19217,107300,935,16.4,2012,,
Glades County,Florida,12,43,10183,12952,20.8,63,742,81.4,0.4133,502,35219,16111,84400,1511,8.0,2012,,
Gulf County,Florida,12,45,12293,15796,14.2,62,746,88.8,0.4321,91,39535,17975,126300,2928,10.0,2012,,
Hamilton County,Florida,12,47,8993,14728,10.3,131,656,84.2,0.4894,39,36875,16227,72300,5112,16.9,2012,,
Hardee County,Florida,12,49,22546,27347,12.1,259,716,76.6,0.4339,232,36115,14299,89500,2239,11.1,2012,,
Hendry County,Florida,12,51,25727,38669,11.5,201,746,75.8,0.4415,666,35736,14885,89100,5188,11.5,2012,,
Hernando County,Florida,12,53,155885,172784,25.0,975,880,81.7,0.4137,552,41098,21632,128400,9205,6.9,2012,,
Highlands County,Florida,12,55,83820,98734,31.0,870,727,83.1,0.4304,542,35350,20004,104800,9190,7.3,2012,,
Hillsborough County,Florida,12,57,908147,1238365,10.5,16710,944,77.9,0.4726,6692,49450,26947,170000,207092,10.4,2012,,
Holmes County,Florida,12,59,18111,19971,14.5,166,624,82.5,0.4166,175,34928,16287,87300,1077,9.6,2012,,
Indian River County,Florida,12,61,120601,138203,26.0,1508,855,82.7,0.524,185,45274,31630,165500,12313,7.5,2012,,
Jackson County,Florida,12,63,34192,49589,12.5,296,611,83.9,0.4481,206,38917,18148,90600,12988,10.1,2012,,
Jefferson County,Florida,12,65,8769,14564,14.6,177,673,84.4,0.4408,30,41163,20064,113800,5376,7.2,2012,,
Lafayette County,Florida,12,67,6994,8668,10.0,24,651,79.1,0.4176,0,44180,18135,154000,1334,11.7,2012,,
Lake County,Florida,12,69,249767,297995,23.3,2293,971,80.6,0.4319,986,45663,24674,155500,28631,7.1,2012,,
Lee County,Florida,12,71,526198,624155,22.8,5926,939,81.9,0.4724,2496,48453,28105,161400,50514,7.9,2012,,
Leon County,Florida,12,73,174433,276506,8.4,3621,922,82.0,0.4894,1070,45915,26340,189100,83628,22.6,2012,,
Levy County,Florida,12,75,35253,40541,19.6,168,678,80.0,0.4433,79,35093,18902,101200,3791,8.0,2012,,
Liberty County,Florida,12,77,6300,8300,8.2,9,592,87.9,0.4705,115,39225,16384,80300,1316,17.1,2012,,
Madison County,Florida,12,79,10866,19187,13.1,117,669,81.3,0.4415,70,34361,15989,85600,7463,10.2,2012,,
Manatee County,Florida,12,81,271678,324834,22.3,3475,926,81.0,0.4599,780,47910,27544,175100,28052,7.5,2012,,
Marion County,Florida,12,83,270917,331987,25.0,2683,835,81.9,0.4427,1261,39770,22191,130900,41173,7.6,2012,,
Martin County,Florida,12,85,128266,146497,25.6,1266,955,84.4,0.5156,895,50573,34522,214300,8288,7.0,2012,,
Monroe County,Florida,12,87,66362,73475,17.0,1108,1335,86.9,0.499,137,53418,34277,417400,4769,7.9,2012,,
Nassau County,Florida,12,89,66088,73303,15.9,630,929,80.7,0.4486,142,57163,29490,195300,4949,8.4,2012,,
Okaloosa County,Florida,12,91,148726,183400,12.2,1899,998,80.1,0.4243,1068,54118,28040,188200,16290,11.4,2012,,
Okeechobee County,Florida,12,93,33833,39779,15.5,264,718,78.9,0.4653,286,34289,17899,110800,3393,9.7,2012,,
Orange County,Florida,12,95,752892,1153795,8.5,15402,1018,78.7,0.4663,3656,48429,25103,185800,238585,12.9,2012,,
Osceola County,Florida,12,97,204701,272355,10.1,3422,1034,76.2,0.4058,670,44887,19728,146200,31134,10.5,2012,,
Palm Beach County,Florida,12,99,1009367,1324085,19.6,11824,1152,81.2,0.5092,2436,52806,33239,216200,229313,8.6,2012,,
Pasco County,Florida,12,101,416723,465276,19.6,3584,909,80.3,0.4411,1626,43787,23895,131200,20425,7.4,2012,,
Pinellas County,Florida,12,103,765829,917389,19.1,11955,947,83.5,0.4702,2293,46051,29352,161600,94304,7.7,2012,,
Polk County,Florida,12,105,475978,604562,16.9,5581,868,78.3,0.4364,1943,43606,21674,120200,89051,9.2,2012,,
Putnam County,Florida,12,107,57520,74224,18.0,590,628,79.0,0.4555,254,34429,18810,97300,12212,8.9,2012,,
Saint Johns County,Florida,12,109,171489,191495,15.0,1167,1068,79.1,0.4848,380,64346,36639,256000,10158,8.1,2012,,
Saint Lucie County,Florida,12,111,203117,278246,19.1,2507,1016,79.4,0.4422,1328,43923,23062,135500,52361,8.1,2012,,
Santa Rosa County,Florida,12,113,134013,153086,11.8,1691,984,79.2,0.4117,1114,57491,27282,166300,7958,9.3,2012,,
Sarasota County,Florida,12,115,347224,380479,29.7,3926,1007,85.2,0.4827,848,48900,32764,191600,17619,6.4,2012,,
Seminole County,Florida,12,117,341546,423389,10.8,3558,1044,79.2,0.4503,1016,58577,29364,204000,46044,10.7,2012,,
Sumter County,Florida,12,119,82441,94240,42.7,270,766,92.2,0.4078,270,46981,26317,187600,9198,4.2,2012,,
Suwannee County,Florida,12,121,35519,42287,16.1,255,665,80.2,0.4335,84,36159,18379,105400,4902,9.5,2012,,
Taylor County,Florida,12,123,17081,22561,12.7,99,613,83.3,0.4507,144,34634,17728,88800,4821,8.9,2012,,
Union County,Florida,12,125,11435,15400,9.3,122,615,87.8,0.3857,72,43750,13865,107900,3197,10.8,2012,,
Volusia County,Florida,12,127,407410,495581,19.4,4068,899,82.8,0.4516,1665,43419,24176,158900,51487,9.9,2012,,
Wakulla County,Florida,12,129,25186,30449,9.9,199,867,81.4,0.404,165,53385,22789,145100,4246,7.8,2012,,
Walton County,Florida,12,131,48450,55349,14.9,473,973,81.6,0.4796,447,44254,26454,164200,3037,7.8,2012,,
Washington County,Florida,12,133,19760,24732,13.7,70,592,82.8,0.4183,175,38536,17497,88500,3565,9.3,2012,,
Appling County,Georgia,13,1,13655,18279,11.5,187,497,75.3,0.4401,25,35875,19664,83700,3563,7.5,2012,,
Atkinson County,Georgia,13,3,5499,8355,8.5,66,421,73.5,0.4758,2,28682,14696,73100,1418,8.3,2012,,
Bacon County,Georgia,13,5,8608,11124,10.5,23,522,77.3,0.4526,0,33557,17396,71600,1810,9.7,2012,,
Baker County,Georgia,13,7,1497,3483,18.2,12,451,80.0,0.5303,0,24219,17871,74200,1981,14.4,2012,,
Baldwin County,Georgia,13,9,25696,46378,11.1,444,688,81.9,0.4828,61,35278,18099,106200,19335,18.0,2012,,
Banks County,Georgia,13,11,17046,18250,11.4,125,642,76.7,0.4372,14,40162,20094,137800,507,8.6,2012,,
Barrow County,Georgia,13,13,55517,69136,8.0,501,850,72.7,0.3797,128,51202,20845,131900,8396,8.4,2012,,
Bartow County,Georgia,13,15,82548,99872,9.5,878,774,75.2,0.4226,467,49543,21884,137600,10000,8.4,2012,,
Ben Hill County,Georgia,13,17,10546,17612,11.8,193,608,74.0,0.4719,0,29162,15335,75100,6253,11.4,2012,,
Berrien County,Georgia,13,19,16048,19131,12.5,200,531,76.7,0.4322,12,31506,16553,77000,2126,7.9,2012,,
Bibb County,Georgia,13,21,68053,155560,10.6,1792,727,75.6,0.5076,341,37920,21443,123300,80153,10.1,2012,,
Bleckley County,Georgia,13,23,8957,13009,12.8,44,640,77.5,0.4825,11,37853,18650,84500,3666,16.8,2012,,
Brantley County,Georgia,13,25,17389,18279,11.9,32,461,75.9,0.4179,25,37374,17155,65600,750,9.7,2012,,
Brooks County,Georgia,13,27,9550,16066,14.4,73,584,78.3,0.499,6,35284,20142,100600,5730,10.2,2012,,
Bryan County,Georgia,13,29,24518,30616,7.8,377,989,72.6,0.4085,71,63818,27511,189100,4247,8.2,2012,,
Bulloch County,Georgia,13,31,47002,70360,7.9,680,690,81.5,0.4915,206,34403,18138,137700,19530,29.1,2012,,
Burke County,Georgia,13,33,11129,23242,10.7,159,530,72.6,0.4739,16,31597,15917,78100,11588,9.7,2012,,
Butts County,Georgia,13,35,16604,23671,9.9,90,749,82.0,0.3939,0,50722,20968,132300,6773,12.5,2012,,
Calhoun County,Georgia,13,37,2254,6581,7.6,45,456,85.4,0.5419,33,30042,14780,57900,3937,12.1,2012,,
Camden County,Georgia,13,39,37892,50435,8.4,489,869,76.1,0.3955,236,54155,22797,162200,9831,15.0,2012,,
Candler County,Georgia,13,43,7509,11007,13.8,45,526,76.0,0.4366,29,35833,17399,79400,2665,12.3,2012,,
Carroll County,Georgia,13,45,85848,110750,9.7,778,767,76.1,0.4318,327,46704,21047,126000,20175,12.6,2012,,
Catoosa County,Georgia,13,47,60234,64226,12.0,485,672,76.6,0.4028,251,46143,22077,130300,1534,8.9,2012,,
Charlton County,Georgia,13,49,9561,12954,10.8,53,722,83.3,0.455,41,39511,17576,76500,3202,7.6,2012,,
Chatham County,Georgia,13,51,144797,266344,10.9,3860,920,78.8,0.4736,569,45653,25245,175900,107233,13.2,2012,,
Chattahoochee County,Georgia,13,53,7977,11917,2.0,310,1210,79.6,0.3582,155,48684,19276,84400,2451,35.7,2012,,
Chattooga County,Georgia,13,55,22024,25905,11.8,216,593,80.3,0.4225,16,32825,15727,74800,2914,9.5,2012,,
Cherokee County,Georgia,13,57,188736,215014,8.5,1221,977,74.6,0.4012,995,67928,29939,194400,12306,8.1,2012,,
Clarke County,Georgia,13,59,77350,117762,7.1,1566,763,82.9,0.5521,109,33846,19716,161100,30810,28.8,2012,,
Clay County,Georgia,13,61,1107,3174,14.0,36,556,75.6,0.4508,0,22582,13606,74600,1999,8.3,2012,,
Clayton County,Georgia,13,63,54981,262066,5.9,3112,879,72.3,0.4099,694,42569,18445,111200,171921,11.2,2012,,
Clinch County,Georgia,13,65,4740,6800,12.5,55,421,78.2,0.4439,20,33967,17496,70700,1940,11.3,2012,,
Cobb County,Georgia,13,67,436938,691820,7.9,7783,968,76.3,0.4483,1648,65180,33282,203000,173854,9.6,2012,,
Coffee County,Georgia,13,69,27307,42566,9.4,458,577,76.8,0.4738,83,35583,17156,79000,11642,11.3,2012,,
Colquitt County,Georgia,13,71,31150,45531,10.9,423,584,75.4,0.4775,21,33186,17830,84500,10448,10.7,2012,,
Columbia County,Georgia,13,73,95752,124665,9.5,661,1000,75.1,0.4153,352,67295,30503,171400,19294,8.9,2012,,
Cook County,Georgia,13,75,11531,17073,11.9,135,653,74.3,0.4575,114,35983,19323,91200,4772,8.5,2012,,
Coweta County,Georgia,13,77,98947,127212,9.4,875,918,75.2,0.3962,63,60675,26146,175000,22602,8.1,2012,,
Crawford County,Georgia,13,79,9308,12701,12.5,52,679,78.1,0.4262,104,39403,19675,89700,2985,8.9,2012,,
Crisp County,Georgia,13,81,12798,23460,11.8,400,576,73.5,0.4651,48,32320,17497,98500,10224,8.8,2012,,
