County,State,State_FIPS,County_FIPS,age_18_and_under_percentage
Honolulu County,Hawaii,15,003,11.3
Kauai County,Hawaii,15,007,7.5
Kalawao County,Hawaii,15,005,6.8
Maui County,Hawaii,15,009,7.7
Ada County,Idaho,16,001,9.0
Adams County,Idaho,16,003,5.6
Bannock County,Idaho,16,005,11.1
Bear Lake County,Idaho,16,007,7.2
Benewah County,Idaho,16,009,8.5
Bingham County,Idaho,16,011,8.9
Blaine County,Idaho,16,013,7.3
Boise County,Idaho,16,015,5.0
Bonner County,Idaho,16,017,6.4
Bonneville County,Idaho,16,019,8.4
Boundary County,Idaho,16,021,6.9
Butte County,Idaho,16,023,8.6
Camas County,Idaho,16,025,5.2
Canyon County,Idaho,16,027,9.7
Caribou County,Idaho,16,029,7.3
Cassia County,Idaho,16,031,9.5
Clearwater County,Idaho,16,035,6.7
Custer County,Idaho,16,037,4.0
Elmore County,Idaho,16,039,15.1
Franklin County,Idaho,16,041,7.9
Fremont County,Idaho,16,043,9.3
Gem County,Idaho,16,045,7.5
Gooding County,Idaho,16,047,9.3
Idaho County,Idaho,16,049,7.8
Jefferson County,Idaho,16,051,8.3
Jerome County,Idaho,16,053,9.3
Kootenai County,Idaho,16,055,8.7
Latah County,Idaho,16,057,27.6
Lemhi County,Idaho,16,059,5.9
Lewis County,Idaho,16,061,6.9
Lincoln County,Idaho,16,063,8.6
Madison County,Idaho,16,065,28.7
Minidoka County,Idaho,16,067,9.4
Nez Perce County,Idaho,16,069,9.6
Oneida County,Idaho,16,071,9.2
Owyhee County,Idaho,16,073,9.5
Payette County,Idaho,16,075,8.9
Power County,Idaho,16,077,9.8
Shoshone County,Idaho,16,079,8.0
Teton County,Idaho,16,081,7.9
Twin Falls County,Idaho,16,083,9.1
Valley County,Idaho,16,085,7.2
Washington County,Idaho,16,087,6.5
Adams County,Illinois,17,001,8.5
Alexander County,Illinois,17,003,8.2
Bond County,Illinois,17,005,9.7
Boone County,Illinois,17,007,9.5
Brown County,Illinois,17,009,14.1
Bureau County,Illinois,17,011,8.0
Calhoun County,Illinois,17,013,7.2
Carroll County,Illinois,17,015,7.7
Cass County,Illinois,17,017,8.2
Champaign County,Illinois,17,019,24.9
Christian County,Illinois,17,021,8.6
Clark County,Illinois,17,023,7.9
Clay County,Illinois,17,025,8.4
Clinton County,Illinois,17,027,8.6
Coles County,Illinois,17,029,19.6
Cook County,Illinois,17,031,9.7
Crawford County,Illinois,17,033,9.3
Cumberland County,Illinois,17,035,7.5
