County,State,State_FIPS,County_FIPS,age_60_and_over
Grundy County,Illinois,17,063,9.4
Hamilton County,Illinois,17,065,16.7
Hancock County,Illinois,17,067,17.2
Hardin County,Illinois,17,069,19.3
Henderson County,Illinois,17,071,18.3
Henry County,Illinois,17,073,14.4
Iroquois County,Illinois,17,075,16.4
Jackson County,Illinois,17,077,8.9
Jasper County,Illinois,17,079,15.0
Jefferson County,Illinois,17,081,13.4
Jersey County,Illinois,17,083,13.6
Jo Daviess County,Illinois,17,085,19.2
Johnson County,Illinois,17,087,13.8
Kane County,Illinois,17,089,7.9
Kankakee County,Illinois,17,091,11.4
Kendall County,Illinois,17,093,6.3
Knox County,Illinois,17,095,15.5
Lake County,Illinois,17,097,8.6
LaSalle County,Illinois,17,099,13.8
Lawrence County,Illinois,17,101,12.7
Lee County,Illinois,17,103,13.3
Livingston County,Illinois,17,105,12.7
Logan County,Illinois,17,107,12.4
McDonough County,Illinois,17,109,11.6
McHenry County,Illinois,17,111,8.5
McLean County,Illinois,17,113,8.9
Macon County,Illinois,17,115,14.1
Macoupin County,Illinois,17,117,14.8
Madison County,Illinois,17,119,12.0
Marion County,Illinois,17,121,15.2
Marshall County,Illinois,17,123,16.7
Mason County,Illinois,17,125,16.6
Massac County,Illinois,17,127,15.9
Menard County,Illinois,17,129,13.7
Mercer County,Illinois,17,131,15.5
Monroe County,Illinois,17,133,11.6
Montgomery County,Illinois,17,135,13.7
Morgan County,Illinois,17,137,13.5
Moultrie County,Illinois,17,139,15.5
Ogle County,Illinois,17,141,13.2
Peoria County,Illinois,17,143,11.9
Perry County,Illinois,17,145,12.1
Piatt County,Illinois,17,147,14.1
Pike County,Illinois,17,149,16.0
Pope County,Illinois,17,151,18.2
Pulaski County,Illinois,17,153,14.9
Putnam County,Illinois,17,155,15.8
Randolph County,Illinois,17,157,11.8
Richland County,Illinois,17,159,16.3
Rock Island County,Illinois,17,161,13.8
Saint Clair County,Illinois,17,163,10.5
Saline County,Illinois,17,165,15.2
Sangamon County,Illinois,17,167,11.6
Schuyler County,Illinois,17,169,15.6
Scott County,Illinois,17,171,15.6
Shelby County,Illinois,17,173,17.2
Stark County,Illinois,17,175,16.9
Stephenson County,Illinois,17,177,16.0
Tazewell County,Illinois,17,179,13.3
Union County,Illinois,17,181,15.8
Vermilion County,Illinois,17,183,13.9
Wabash County,Illinois,17,185,15.0
Warren County,Illinois,17,187,14.1
Washington County,Illinois,17,189,14.8
Wayne County,Illinois,17,191,16.8
White County,Illinois,17,193,18.0
Whiteside County,Illinois,17,195,14.8
Will County,Illinois,17,197,7.7
Williamson County,Illinois,17,199,13.9
Winnebago County,Illinois,17,201,11.6
Woodford County,Illinois,17,203,12.4
Adams County,Indiana,18,001,11.5
Allen County,Indiana,18,003,9.9
Bartholomew County,Indiana,18,005,11.6
Benton County,Indiana,18,007,13.4
Blackford County,Indiana,18,009,14.7
Boone County,Indiana,18,011,10.0
Brown County,Indiana,18,013,15.4
Carroll County,Indiana,18,015,13.6
Cass County,Indiana,18,017,12.5
Clark County,Indiana,18,019,10.5
Clay County,Indiana,18,021,12.9
Clinton County,Indiana,18,023,11.9
Crawford County,Indiana,18,025,14.0
Daviess County,Indiana,18,027,11.8
Dearborn County,Indiana,18,029,11.2
Decatur County,Indiana,18,031,12.2
DeKalb County,Indiana,18,033,10.6
Delaware County,Indiana,18,035,12.5
Dubois County,Indiana,18,037,11.8
Elkhart County,Indiana,18,039,9.8
Fayette County,Indiana,18,041,14.4
Floyd County,Indiana,18,043,10.7
Fountain County,Indiana,18,045,14.7
Franklin County,Indiana,18,047,12.3
Fulton County,Indiana,18,049,13.6
Gibson County,Indiana,18,051,12.8
Grant County,Indiana,18,053,13.9
Greene County,Indiana,18,055,13.5
Hamilton County,Indiana,18,057,7.3
Hancock County,Indiana,18,059,11.1
Harrison County,Indiana,18,061,11.6
Hendricks County,Indiana,18,063,8.9
Henry County,Indiana,18,065,13.2
Howard County,Indiana,18,067,13.6
Huntington County,Indiana,18,069,12.2
