County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Clark County,Indiana,18,019,4.8
Clay County,Indiana,18,021,3.5
Clinton County,Indiana,18,023,9.0
Crawford County,Indiana,18,025,6.6
Daviess County,Indiana,18,027,14.7
Dearborn County,Indiana,18,029,3.2
Decatur County,Indiana,18,031,6.2
DeKalb County,Indiana,18,033,4.4
Delaware County,Indiana,18,035,4.1
Dubois County,Indiana,18,037,5.6
Elkhart County,Indiana,18,039,8.1
Fayette County,Indiana,18,041,8.8
Floyd County,Indiana,18,043,3.7
Fountain County,Indiana,18,045,5.0
Franklin County,Indiana,18,047,4.5
Fulton County,Indiana,18,049,4.4
Gibson County,Indiana,18,051,3.1
Grant County,Indiana,18,053,4.7
Greene County,Indiana,18,055,4.3
Hamilton County,Indiana,18,057,1.2
Hancock County,Indiana,18,059,1.2
Harrison County,Indiana,18,061,4.4
Hendricks County,Indiana,18,063,1.8
Henry County,Indiana,18,065,5.0
