County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter),Unemployment Rate,Total Occupied Households,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Total Families (Single Mother),Median Household Income,No Vehicle (Owner),Gini Index,Median Age,Bachelor's Degree or Higher (%),Total Families,Disability Rate,Rent Denominator,Poverty Rate,Black Population,High School Degree or Higher (%),Year
Izard County,Arkansas,75.6157370549392,5,65,242.0,8.6,4851.0,314.0,164.0,13570.0,12751.0,135.0,42876.0,90.0,0.4278,47.9,13.1,3124.0,26.8,1161.0,15.1,248.0,83.8,2019
Jackson County,Arkansas,73.4717805117145,5,67,264.0,7.5,6137.0,492.0,354.0,17027.0,13230.0,424.0,34109.0,60.0,0.501,39.7,10.1,3758.0,23.5,1880.0,24.4,2091.0,80.2,2019
Jefferson County,Arkansas,73.4261899123358,5,69,1950.0,9.1,26801.0,1455.0,2219.0,69282.0,27475.0,2595.0,40726.0,698.0,0.4642,38.7,18.0,16294.0,18.0,10157.0,22.2,39165.0,86.1,2019
Johnson County,Arkansas,75.9836214076058,5,71,424.0,3.8,9682.0,3671.0,513.0,26372.0,24056.0,622.0,38511.0,139.0,0.4491,38.4,15.4,6650.0,20.2,2864.0,22.7,421.0,78.9,2019
Lafayette County,Arkansas,74.9707697442814,5,73,158.0,5.4,2784.0,182.0,128.0,6800.0,4077.0,199.0,32397.0,118.0,0.5807,47.0,15.8,1801.0,25.2,582.0,25.9,2448.0,79.7,2019
Lawrence County,Arkansas,74.1619647316862,5,75,243.0,7.2,6463.0,256.0,289.0,16549.0,15992.0,320.0,39993.0,60.0,0.4382,40.8,15.4,4466.0,23.4,2112.0,15.6,186.0,84.1,2019
Lee County,Arkansas,73.6550632062585,5,77,427.0,12.3,3206.0,230.0,363.0,9194.0,3949.0,246.0,29681.0,141.0,0.5049,42.5,10.7,1994.0,24.2,1289.0,22.1,5108.0,75.8,2019
Lincoln County,Arkansas,75.1174601445946,5,79,130.0,2.3,3773.0,529.0,111.0,13455.0,8872.0,166.0,46596.0,107.0,0.4604,39.0,9.7,2711.0,21.1,863.0,20.0,4106.0,81.1,2019
Little River County,Arkansas,74.2296480855239,5,81,263.0,10.0,5363.0,189.0,66.0,12347.0,9124.0,369.0,45113.0,154.0,0.4494,42.9,12.5,3523.0,20.9,1527.0,16.1,2710.0,89.0,2019
Logan County,Arkansas,74.5390519713844,5,83,209.0,6.2,8417.0,645.0,217.0,21668.0,19887.0,455.0,41466.0,143.0,0.4243,42.0,13.3,5839.0,22.0,2215.0,18.7,298.0,86.2,2019
Lonoke County,Arkansas,75.1530127524346,5,85,931.0,3.6,26895.0,3241.0,1408.0,72528.0,64339.0,1700.0,59094.0,277.0,0.4161,36.2,20.6,19891.0,14.1,8271.0,12.2,4110.0,89.1,2019
Madison County,Arkansas,75.8570084978955,5,87,269.0,4.2,6279.0,928.0,124.0,16211.0,15176.0,314.0,41682.0,91.0,0.4771,42.7,14.2,4318.0,18.1,1380.0,17.4,49.0,80.6,2019
Marion County,Arkansas,75.6545986398168,5,89,284.0,4.8,6782.0,379.0,299.0,16476.0,15820.0,342.0,36719.0,155.0,0.4416,52.2,17.1,4438.0,23.3,1434.0,18.2,80.0,86.5,2019
Miller County,Arkansas,75.0245849048596,5,91,992.0,7.0,16426.0,1450.0,1368.0,43572.0,30408.0,1864.0,43371.0,388.0,0.466,39.5,16.8,11108.0,18.7,5807.0,20.1,10789.0,86.5,2019
Mississippi County,Arkansas,71.6047392412473,5,93,1357.0,9.2,16389.0,1740.0,1163.0,42126.0,25411.0,1966.0,39962.0,324.0,0.4727,36.6,13.8,10635.0,20.0,7152.0,24.3,14212.0,81.1,2019
Monroe County,Arkansas,72.5085008717615,5,95,346.0,7.5,3333.0,45.0,139.0,7050.0,3847.0,425.0,38468.0,73.0,0.4556,47.3,12.7,1974.0,23.6,1337.0,27.1,3030.0,78.9,2019
Montgomery County,Arkansas,75.8260867646292,5,97,87.0,7.6,3754.0,388.0,82.0,8950.0,8247.0,120.0,35741.0,79.0,0.454,50.4,13.5,2563.0,25.9,701.0,21.3,30.0,79.8,2019
Nevada County,Arkansas,74.3619052994291,5,99,101.0,5.8,3397.0,2.0,93.0,8351.0,5247.0,329.0,38042.0,69.0,0.4086,44.3,14.6,2263.0,20.9,1123.0,23.1,2884.0,90.4,2019
Newton County,Arkansas,77.4202686543232,5,101,46.0,3.5,2936.0,33.0,69.0,7812.0,7356.0,95.0,38082.0,70.0,0.4307,49.0,20.5,1800.0,22.1,464.0,15.8,2.0,86.5,2019
Ouachita County,Arkansas,73.4591112390394,5,103,600.0,7.8,9658.0,558.0,557.0,23830.0,13582.0,998.0,35425.0,196.0,0.4577,43.0,14.5,6009.0,19.9,2982.0,23.2,9923.0,86.0,2019
Perry County,Arkansas,75.1914833175535,5,105,142.0,5.5,3668.0,303.0,122.0,10355.0,9963.0,192.0,48667.0,77.0,0.4132,43.7,12.7,2824.0,23.9,864.0,17.9,69.0,84.8,2019
Phillips County,Arkansas,71.3872806812049,5,107,1115.0,10.6,7485.0,350.0,896.0,18606.0,6719.0,885.0,29320.0,189.0,0.4944,38.9,13.8,4836.0,22.2,3878.0,34.5,11750.0,80.3,2019
Pike County,Arkansas,75.2543244823106,5,109,87.0,4.7,4280.0,700.0,123.0,10756.0,9774.0,163.0,40401.0,115.0,0.4481,43.1,17.3,2969.0,26.9,908.0,15.4,439.0,87.4,2019
Poinsett County,Arkansas,71.448323467462,5,111,461.0,5.8,9526.0,727.0,648.0,23896.0,21113.0,845.0,40921.0,108.0,0.4285,40.1,11.1,6710.0,22.3,3532.0,21.4,1093.0,80.3,2019
Polk County,Arkansas,75.318879330763,5,113,259.0,9.3,8243.0,1324.0,522.0,20094.0,18409.0,530.0,37974.0,212.0,0.492,43.9,14.1,5672.0,23.3,1922.0,23.8,95.0,84.9,2019
Pope County,Arkansas,76.7648866733951,5,115,901.0,6.4,22579.0,5751.0,1508.0,63761.0,58162.0,1635.0,43462.0,335.0,0.4696,35.3,22.8,14881.0,17.7,7016.0,18.8,1909.0,84.5,2019
Prairie County,Arkansas,76.3100595930086,5,117,144.0,7.1,3776.0,142.0,104.0,8189.0,7020.0,221.0,42660.0,65.0,0.4579,47.2,15.4,2495.0,21.2,984.0,14.8,1017.0,83.2,2019
Pulaski County,Arkansas,76.2703323632758,5,119,9394.0,4.7,158051.0,24171.0,14869.0,392967.0,219763.0,14889.0,51749.0,2512.0,0.509,37.2,34.3,95813.0,15.7,65113.0,16.8,144802.0,90.4,2019
Randolph County,Arkansas,74.5934682592182,5,121,211.0,4.3,7355.0,367.0,303.0,17695.0,16842.0,504.0,37218.0,150.0,0.4756,41.1,13.8,4994.0,22.2,2080.0,18.8,192.0,82.9,2019
Saint Francis County,Arkansas,74.2825629644221,5,123,1079.0,6.2,9388.0,1343.0,897.0,25900.0,10630.0,1043.0,35348.0,191.0,0.4908,38.8,10.4,5867.0,18.5,4249.0,24.9,13845.0,81.9,2019
Saline County,Arkansas,77.3055666277896,5,125,1196.0,3.7,44075.0,5688.0,1656.0,119415.0,105610.0,2583.0,64412.0,734.0,0.399,39.6,26.7,31296.0,16.6,9656.0,9.2,8518.0,90.6,2019
Scott County,Arkansas,74.8636036332918,5,127,303.0,8.1,3944.0,799.0,246.0,10376.0,9239.0,178.0,36092.0,81.0,0.4331,40.7,9.3,2569.0,24.5,1034.0,19.1,25.0,79.1,2019
Searcy County,Arkansas,75.4159073702129,5,129,176.0,3.8,3327.0,191.0,107.0,7908.0,7374.0,111.0,36438.0,124.0,0.4554,47.9,11.9,2333.0,20.6,867.0,21.9,48.0,81.8,2019
Sebastian County,Arkansas,76.1656763127211,5,131,2933.0,4.8,51228.0,18144.0,3695.0,127591.0,93752.0,3804.0,46228.0,557.0,0.4691,37.6,21.3,32909.0,19.8,21098.0,18.5,8642.0,84.1,2019
Sevier County,Arkansas,75.6975365722476,5,133,178.0,5.5,5885.0,5711.0,251.0,17081.0,10744.0,344.0,47704.0,82.0,0.4595,35.3,12.8,4279.0,14.2,1684.0,21.3,827.0,76.5,2019
Sharp County,Arkansas,73.8715952603263,5,135,257.0,4.3,7447.0,391.0,343.0,17139.0,16284.0,416.0,34671.0,160.0,0.4769,47.6,10.2,4420.0,27.1,1701.0,22.2,143.0,83.5,2019
Stone County,Arkansas,76.3093521708669,5,137,154.0,6.3,4787.0,243.0,309.0,12475.0,12044.0,177.0,38188.0,88.0,0.4609,50.1,13.9,3109.0,22.6,1214.0,19.8,11.0,81.2,2019
Union County,Arkansas,73.5506121344898,5,139,524.0,5.0,15726.0,1577.0,854.0,39449.0,25201.0,1354.0,44663.0,283.0,0.47,40.3,21.1,10562.0,17.4,3861.0,19.1,12887.0,84.9,2019
Van Buren County,Arkansas,76.0940936040922,5,141,370.0,7.4,6813.0,520.0,272.0,16642.0,15816.0,328.0,38499.0,90.0,0.4504,48.0,14.5,4631.0,25.4,1461.0,18.5,101.0,85.1,2019
Washington County,Arkansas,78.0991138391832,5,143,4046.0,4.8,87325.0,38979.0,8131.0,232289.0,179292.0,5025.0,50451.0,1159.0,0.4851,32.0,33.3,54999.0,10.6,41397.0,16.4,8545.0,85.0,2019
