County,State,State_FIPS,County_FIPS,health_insurance_rate
Warren County,Georgia,13,301,14.7
Washington County,Georgia,13,303,21.8
Wayne County,Georgia,13,305,23.1
Webster County,Georgia,13,307,20.3
Wheeler County,Georgia,13,309,15.5
White County,Georgia,13,311,19.8
Whitfield County,Georgia,13,313,25.3
Wilcox County,Georgia,13,315,16.4
Wilkes County,Georgia,13,317,18.1
Wilkinson County,Georgia,13,319,11.4
Worth County,Georgia,13,321,22.2
Hawaii County,Hawaii,15,001,9.9
Honolulu County,Hawaii,15,003,5.8
Kauai County,Hawaii,15,007,9.9
Kalawao County,Hawaii,15,005,3.3
Maui County,Hawaii,15,009,9.2
Ada County,Idaho,16,001,13.5
Adams County,Idaho,16,003,24.8
Bannock County,Idaho,16,005,14.0
Bear Lake County,Idaho,16,007,16.4
Benewah County,Idaho,16,009,19.1
Bingham County,Idaho,16,011,17.8
Blaine County,Idaho,16,013,20.0
Boise County,Idaho,16,015,20.8
Bonner County,Idaho,16,017,19.2
Bonneville County,Idaho,16,019,14.4
Boundary County,Idaho,16,021,28.4
Butte County,Idaho,16,023,17.0
Camas County,Idaho,16,025,24.4
Canyon County,Idaho,16,027,20.2
Caribou County,Idaho,16,029,14.5
Cassia County,Idaho,16,031,20.6
Clearwater County,Idaho,16,035,18.5
Custer County,Idaho,16,037,15.4
Elmore County,Idaho,16,039,14.8
Franklin County,Idaho,16,041,15.2
Fremont County,Idaho,16,043,21.1
Gem County,Idaho,16,045,21.5
Gooding County,Idaho,16,047,25.5
Idaho County,Idaho,16,049,17.9
Jefferson County,Idaho,16,051,14.1
Jerome County,Idaho,16,053,31.1
Kootenai County,Idaho,16,055,17.0
Latah County,Idaho,16,057,10.4
Lemhi County,Idaho,16,059,16.4
Lewis County,Idaho,16,061,18.7
Lincoln County,Idaho,16,063,32.9
Madison County,Idaho,16,065,10.1
Minidoka County,Idaho,16,067,21.2
Nez Perce County,Idaho,16,069,13.5
Oneida County,Idaho,16,071,12.6
Owyhee County,Idaho,16,073,26.8
Payette County,Idaho,16,075,23.1
Power County,Idaho,16,077,17.3
Shoshone County,Idaho,16,079,18.2
Teton County,Idaho,16,081,23.4
Twin Falls County,Idaho,16,083,20.4
Valley County,Idaho,16,085,23.0
Washington County,Idaho,16,087,19.1
Adams County,Illinois,17,001,8.9
Alexander County,Illinois,17,003,17.6
Bond County,Illinois,17,005,9.6
Boone County,Illinois,17,007,11.6
Brown County,Illinois,17,009,9.3
Bureau County,Illinois,17,011,12.0
Calhoun County,Illinois,17,013,7.0
Carroll County,Illinois,17,015,11.1
Cass County,Illinois,17,017,10.9
Champaign County,Illinois,17,019,10.0
Christian County,Illinois,17,021,10.7
Clark County,Illinois,17,023,8.6
Clay County,Illinois,17,025,11.9
Clinton County,Illinois,17,027,6.9
Coles County,Illinois,17,029,11.1
Cook County,Illinois,17,031,16.6
Crawford County,Illinois,17,033,11.4
Cumberland County,Illinois,17,035,9.3
DeKalb County,Illinois,17,037,10.6
De Witt County,Illinois,17,039,8.7
Douglas County,Illinois,17,041,20.0
DuPage County,Illinois,17,043,9.2
Edgar County,Illinois,17,045,10.4
