County,State,State_FIPS,County_FIPS,unemployment_rate
Whiteside County,Illinois,17,195,8.1
Will County,Illinois,17,197,7.8
Williamson County,Illinois,17,199,7.0
Winnebago County,Illinois,17,201,11.5
Woodford County,Illinois,17,203,5.9
Adams County,Indiana,18,001,6.2
Allen County,Indiana,18,003,8.0
Bartholomew County,Indiana,18,005,5.4
Benton County,Indiana,18,007,5.3
Blackford County,Indiana,18,009,9.8
Boone County,Indiana,18,011,3.7
Brown County,Indiana,18,013,6.2
Carroll County,Indiana,18,015,8.2
Cass County,Indiana,18,017,8.7
Clark County,Indiana,18,019,6.8
Clay County,Indiana,18,021,7.8
Clinton County,Indiana,18,023,7.3
Crawford County,Indiana,18,025,6.6
Daviess County,Indiana,18,027,5.4
Dearborn County,Indiana,18,029,8.1
Decatur County,Indiana,18,031,6.3
DeKalb County,Indiana,18,033,7.5
Delaware County,Indiana,18,035,10.1
Dubois County,Indiana,18,037,3.3
Elkhart County,Indiana,18,039,7.4
Fayette County,Indiana,18,041,12.1
Floyd County,Indiana,18,043,7.3
Fountain County,Indiana,18,045,8.6
Franklin County,Indiana,18,047,6.4
Fulton County,Indiana,18,049,6.0
Gibson County,Indiana,18,051,4.3
Grant County,Indiana,18,053,8.8
Greene County,Indiana,18,055,7.0
Hamilton County,Indiana,18,057,4.3
Hancock County,Indiana,18,059,5.5
Harrison County,Indiana,18,061,7.9
Hendricks County,Indiana,18,063,5.3
Henry County,Indiana,18,065,10.6
Howard County,Indiana,18,067,9.2
Huntington County,Indiana,18,069,7.4
