County,State,State_FIPS,County_FIPS,total_population
Montgomery County,Illinois,17,135,29301.0
Morgan County,Illinois,17,137,34801.0
Moultrie County,Illinois,17,139,14915.0
Ogle County,Illinois,17,141,52034.0
Peoria County,Illinois,17,143,186818.0
Perry County,Illinois,17,145,21595.0
Piatt County,Illinois,17,147,16469.0
Pike County,Illinois,17,149,16054.0
Pope County,Illinois,17,151,4255.0
Pulaski County,Illinois,17,153,5792.0
Putnam County,Illinois,17,155,5746.0
Randolph County,Illinois,17,157,32934.0
Richland County,Illinois,17,159,16072.0
Rock Island County,Illinois,17,161,146536.0
Saint Clair County,Illinois,17,163,265569.0
Saline County,Illinois,17,165,24659.0
Sangamon County,Illinois,17,167,198639.0
Schuyler County,Illinois,17,169,7205.0
Scott County,Illinois,17,171,5169.0
Shelby County,Illinois,17,173,22011.0
Stark County,Illinois,17,175,5840.0
Stephenson County,Illinois,17,177,46283.0
Tazewell County,Illinois,17,179,135400.0
Union County,Illinois,17,181,17458.0
Vermilion County,Illinois,17,183,79613.0
Wabash County,Illinois,17,185,11587.0
Warren County,Illinois,17,187,17611.0
Washington County,Illinois,17,189,14369.0
Wayne County,Illinois,17,191,16517.0
White County,Illinois,17,193,14410.0
Whiteside County,Illinois,17,195,57155.0
Will County,Illinois,17,197,685378.0
Williamson County,Illinois,17,199,67336.0
Winnebago County,Illinois,17,201,288896.0
