County,State,State_FIPS,County_FIPS,median_home_value
Latah County,Idaho,16,057,189100.0
Lemhi County,Idaho,16,059,174800.0
Lewis County,Idaho,16,061,114800.0
Lincoln County,Idaho,16,063,112100.0
Madison County,Idaho,16,065,174400.0
Minidoka County,Idaho,16,067,109000.0
Nez Perce County,Idaho,16,069,166000.0
Oneida County,Idaho,16,071,130600.0
Owyhee County,Idaho,16,073,123200.0
Payette County,Idaho,16,075,128200.0
Power County,Idaho,16,077,130300.0
Shoshone County,Idaho,16,079,117500.0
Teton County,Idaho,16,081,220700.0
Twin Falls County,Idaho,16,083,150400.0
Valley County,Idaho,16,085,207200.0
Washington County,Idaho,16,087,132200.0
Adams County,Illinois,17,001,106500.0
Alexander County,Illinois,17,003,52800.0
Bond County,Illinois,17,005,106500.0
Boone County,Illinois,17,007,150900.0
Brown County,Illinois,17,009,85200.0
Bureau County,Illinois,17,011,102000.0
Calhoun County,Illinois,17,013,111300.0
Carroll County,Illinois,17,015,97000.0
Cass County,Illinois,17,017,75700.0
Champaign County,Illinois,17,019,149200.0
Christian County,Illinois,17,021,84100.0
Clark County,Illinois,17,023,88100.0
Clay County,Illinois,17,025,76000.0
Clinton County,Illinois,17,027,130700.0
Coles County,Illinois,17,029,90400.0
Cook County,Illinois,17,031,222200.0
Crawford County,Illinois,17,033,79100.0
Cumberland County,Illinois,17,035,87100.0
DeKalb County,Illinois,17,037,169100.0
De Witt County,Illinois,17,039,107000.0
Douglas County,Illinois,17,041,99100.0
DuPage County,Illinois,17,043,279700.0
Edgar County,Illinois,17,045,75700.0
Edwards County,Illinois,17,047,64300.0
Effingham County,Illinois,17,049,118400.0
Fayette County,Illinois,17,051,81700.0
Ford County,Illinois,17,053,91000.0
Franklin County,Illinois,17,055,65300.0
Fulton County,Illinois,17,057,81300.0
Gallatin County,Illinois,17,059,63800.0
Greene County,Illinois,17,061,74600.0
Grundy County,Illinois,17,063,178800.0
Hamilton County,Illinois,17,065,77000.0
Hancock County,Illinois,17,067,84000.0
Hardin County,Illinois,17,069,68100.0
Henderson County,Illinois,17,071,86300.0
Henry County,Illinois,17,073,110100.0
Iroquois County,Illinois,17,075,96000.0
Jackson County,Illinois,17,077,100400.0
Jasper County,Illinois,17,079,91800.0
Jefferson County,Illinois,17,081,85400.0
Jersey County,Illinois,17,083,121700.0
Jo Daviess County,Illinois,17,085,137200.0
Johnson County,Illinois,17,087,88700.0
Kane County,Illinois,17,089,216000.0
Kankakee County,Illinois,17,091,143100.0
Kendall County,Illinois,17,093,204100.0
Knox County,Illinois,17,095,80800.0
Lake County,Illinois,17,097,247300.0
LaSalle County,Illinois,17,099,123400.0
Lawrence County,Illinois,17,101,66200.0
Lee County,Illinois,17,103,110700.0
Livingston County,Illinois,17,105,109200.0
Logan County,Illinois,17,107,97500.0
McDonough County,Illinois,17,109,87100.0
McHenry County,Illinois,17,111,213400.0
McLean County,Illinois,17,113,158800.0
Macon County,Illinois,17,115,94000.0
Macoupin County,Illinois,17,117,96000.0
Madison County,Illinois,17,119,125100.0
