County,State,State_FIPS,County_FIPS,total_population_race
McLean County,Illinois,17,113,173114.0
Macon County,Illinois,17,115,109193.0
Macoupin County,Illinois,17,117,46844.0
Madison County,Illinois,17,119,267356.0
Marion County,Illinois,17,121,38665.0
Marshall County,Illinois,17,123,12173.0
Mason County,Illinois,17,125,14126.0
Massac County,Illinois,17,127,15016.0
Menard County,Illinois,17,129,12611.0
Mercer County,Illinois,17,131,16107.0
Monroe County,Illinois,17,133,33539.0
Montgomery County,Illinois,17,135,29348.0
Morgan County,Illinois,17,137,35129.0
Moultrie County,Illinois,17,139,14927.0
Ogle County,Illinois,17,141,52397.0
Peoria County,Illinois,17,143,187112.0
Perry County,Illinois,17,145,21810.0
Piatt County,Illinois,17,147,16495.0
Pike County,Illinois,17,149,16144.0
Pope County,Illinois,17,151,4331.0
Pulaski County,Illinois,17,153,5871.0
Putnam County,Illinois,17,155,5822.0
Randolph County,Illinois,17,157,33069.0
Richland County,Illinois,17,159,16127.0
Rock Island County,Illinois,17,161,147161.0
Saint Clair County,Illinois,17,163,267029.0
Saline County,Illinois,17,165,24783.0
Sangamon County,Illinois,17,167,199016.0
Schuyler County,Illinois,17,169,7311.0
Scott County,Illinois,17,171,5198.0
Shelby County,Illinois,17,173,22115.0
Stark County,Illinois,17,175,5859.0
Stephenson County,Illinois,17,177,46625.0
Tazewell County,Illinois,17,179,135697.0
Union County,Illinois,17,181,17551.0
Vermilion County,Illinois,17,183,80368.0
Wabash County,Illinois,17,185,11652.0
Warren County,Illinois,17,187,17701.0
Washington County,Illinois,17,189,14457.0
Wayne County,Illinois,17,191,16555.0
White County,Illinois,17,193,14464.0
Whiteside County,Illinois,17,195,57525.0
Will County,Illinois,17,197,683995.0
Williamson County,Illinois,17,199,67121.0
