County,State,State_FIPS,County_FIPS,asian_population
Effingham County,Illinois,17,049,33444.0
Fayette County,Illinois,17,051,21105.0
Ford County,Illinois,17,053,13600.0
Franklin County,Illinois,17,055,38859.0
Fulton County,Illinois,17,057,34641.0
Gallatin County,Illinois,17,059,5248.0
Greene County,Illinois,17,061,13369.0
Grundy County,Illinois,17,063,47861.0
Hamilton County,Illinois,17,065,8216.0
Hancock County,Illinois,17,067,18389.0
Hardin County,Illinois,17,069,3990.0
Henderson County,Illinois,17,071,6893.0
Henry County,Illinois,17,073,46973.0
Iroquois County,Illinois,17,075,27860.0
Jackson County,Illinois,17,077,46669.0
Jasper County,Illinois,17,079,9452.0
Jefferson County,Illinois,17,081,33966.0
Jersey County,Illinois,17,083,22172.0
Jo Daviess County,Illinois,17,085,21926.0
Johnson County,Illinois,17,087,11245.0
Kane County,Illinois,17,089,380753.0
Kankakee County,Illinois,17,091,89765.0
Kendall County,Illinois,17,093,99130.0
Knox County,Illinois,17,095,45798.0
Lake County,Illinois,17,097,560800.0
LaSalle County,Illinois,17,099,106603.0
Lawrence County,Illinois,17,101,12554.0
Lee County,Illinois,17,103,32338.0
Livingston County,Illinois,17,105,35320.0
Logan County,Illinois,17,107,24580.0
McDonough County,Illinois,17,109,29247.0
McHenry County,Illinois,17,111,280156.0
McLean County,Illinois,17,113,144824.0
Macon County,Illinois,17,115,86770.0
Macoupin County,Illinois,17,117,45935.0
Madison County,Illinois,17,119,237095.0
Marion County,Illinois,17,121,36201.0
Marshall County,Illinois,17,123,11873.0
Mason County,Illinois,17,125,14036.0
Massac County,Illinois,17,127,13794.0
Menard County,Illinois,17,129,12319.0
Mercer County,Illinois,17,131,15785.0
Monroe County,Illinois,17,133,32721.0
Montgomery County,Illinois,17,135,26726.0
Morgan County,Illinois,17,137,32232.0
Moultrie County,Illinois,17,139,14655.0
Ogle County,Illinois,17,141,50352.0
Peoria County,Illinois,17,143,139731.0
Perry County,Illinois,17,145,19436.0
Piatt County,Illinois,17,147,16185.0
Pike County,Illinois,17,149,15726.0
Pope County,Illinois,17,151,4092.0
Pulaski County,Illinois,17,153,3827.0
Putnam County,Illinois,17,155,5730.0
Randolph County,Illinois,17,157,29225.0
Richland County,Illinois,17,159,15731.0
Rock Island County,Illinois,17,161,120355.0
Saint Clair County,Illinois,17,163,174857.0
Saline County,Illinois,17,165,23196.0
Sangamon County,Illinois,17,167,165086.0
Schuyler County,Illinois,17,169,7168.0
Scott County,Illinois,17,171,5207.0
Shelby County,Illinois,17,173,21902.0
Stark County,Illinois,17,175,5740.0
Stephenson County,Illinois,17,177,40606.0
Tazewell County,Illinois,17,179,130596.0
Union County,Illinois,17,181,16743.0
Vermilion County,Illinois,17,183,66879.0
Wabash County,Illinois,17,185,11378.0
Warren County,Illinois,17,187,16151.0
Washington County,Illinois,17,189,14151.0
Wayne County,Illinois,17,191,16269.0
White County,Illinois,17,193,14304.0
Whiteside County,Illinois,17,195,53197.0
Will County,Illinois,17,197,514650.0
Williamson County,Illinois,17,199,61959.0
Winnebago County,Illinois,17,201,231858.0
